YYYY	MM	DD	YYMMDD	hh	WD	WSP	DGST	WVHT	DPD	APD	BAR	ATMP	WTMP
2000	4	5	200045	20	129	11	12.7	1.15	4.55	3.89	1001.8	1.2	2.7
2000	4	5	200045	21	115	11.6	13.6	1.4	5	4.16	1000.1	1.4	2.7
2000	4	5	200045	22	114	11.3	13.6	1.52	5.26	4.38	999.2	1.8	2.7
2000	4	5	200045	23	111	12.4	15	1.45	5.26	4.44	997.8	2	2.7
2000	4	6	200046	0	119	12.4	14.7	1.91	5.88	4.68	997.1	1.8	2.7
2000	4	6	200046	1	128	12.7	15.3	1.92	5.88	4.75	995.8	2.2	2.7
2000	4	6	200046	2	132	12.3	15.5	2.14	6.25	5	994.6	1.6	2.7
2000	4	6	200046	3	132	12.5	15.3	2.3	6.25	5.15	993.6	0.8	2.7
2000	4	6	200046	4	130	13.1	15.4	2.43	6.67	5.35	992.3	0.9	2.7
2000	4	6	200046	5	133	12.5	14.9	2.4	6.67	5.34	991.4	1.2	2.6
2000	4	6	200046	6	130	10.4	13.6	2.14	6.25	5.11	991.1	1	2.7
2000	4	6	200046	7	136	10.6	13	2.09	6.67	5.19	990.3	1.6	2.7
2000	4	6	200046	8	128	9.8	12.2	2.07	6.67	5.3	989.9	1.3	2.7
2000	4	6	200046	9	126	7.7	9	1.94	6.67	5.23	990.2	1.5	2.7
2000	4	6	200046	10	130	6.3	7.4	1.77	6.67	5.17	990.8	1.4	2.7
2000	4	6	200046	11	133	4.6	5.2	1.76	6.67	5.38	991.6	1.3	2.7
2000	4	6	200046	12	222	0.4	1.1	1.59	6.25	5.18	993.2	1.5	2.7
2000	4	6	200046	13	311	4.3	5.3	1.46	6.25	5.21	994.3	1.8	2.7
2000	4	6	200046	14	333	6.7	7.7	1.34	6.67	5.21	994.9	1.8	2.7
2000	4	6	200046	15	351	5.5	6.7	1.13	6.25	4.5	996.4	1.6	2.8
2000	4	6	200046	16	345	8.7	10.9	1.07	6.25	4.56	997.9	1.3	2.9
2000	4	6	200046	17	320	10.6	12.6	1.18	6.67	3.95	999.1	1.3	2.9
2000	4	6	200046	18	308	11	13.6	1.41	4.55	4.18	1000.7	1.6	2.9
2000	4	6	200046	19	307	10.6	12.7	1.4	5.26	4.29	1001.8	2.6	2.9
2000	4	6	200046	20	297	9.5	11.8	1.48	4.76	4.37	1003.2	1.3	2.9
2000	4	6	200046	21	306	12.1	14.4	1.71	4.76	4.6	1004.3	1.2	2.8
2000	4	6	200046	22	325	12.1	14.3	99	99	99	1005.6	1	2.8
2000	4	6	200046	23	331	12.4	14.2	2.2	5.56	4.91	1006.9	0.3	2.9
2000	4	7	200047	0	999	99	99	99	99	99	9999	999	999
2000	4	7	200047	1	334	12.3	14.6	2	5.26	4.84	1009.3	-0.7	2.8
2000	4	7	200047	2	343	11.5	13.6	2.01	5.56	4.97	1010.9	-1.4	2.8
2000	4	7	200047	3	343	12.2	15	2.36	5.88	5.13	1012.6	-2.3	2.8
2000	4	7	200047	4	999	99	99	99	99	99	9999	999	999
2000	4	7	200047	5	342	10.2	12.8	2.1	6.25	5.11	1015.9	-2.7	2.8
2000	4	7	200047	6	348	9.5	11.8	1.75	5.56	4.74	1016.4	-2.8	2.7
2000	4	7	200047	7	350	9.6	11.4	1.53	5.26	4.55	1016.2	-2.9	2.7
2000	4	7	200047	8	10	10.3	12.7	1.46	5	4.48	1016.3	-3.2	2.7
2000	4	7	200047	9	12	10.4	12.6	1.38	5	4.3	1016.6	-4.1	2.7
2000	4	7	200047	10	18	9.6	11.9	1.41	5	4.23	1018.2	-4.6	2.6
2000	4	7	200047	11	34	9.7	12.2	1.51	5	4.45	1019.2	-5.1	2.6
2000	4	7	200047	12	27	9.9	13.1	1.51	5	4.48	1020.1	-5.4	2.6
2000	4	7	200047	13	28	11.9	13.8	1.56	5.26	4.45	1019.9	-5.4	2.6
2000	4	7	200047	14	32	10.3	12.9	1.68	5.56	4.66	1021.3	-5.6	2.6
2000	4	7	200047	15	35	7.9	9.5	1.48	5.56	4.51	1022.7	-5.6	2.6
2000	4	7	200047	16	29	6.3	8.1	1.33	5.56	4.53	1023.5	-5.7	2.6
2000	4	7	200047	17	28	5.2	6.5	1.12	5.26	4.42	1024	-5.5	2.7
2000	4	7	200047	18	19	6.5	8.3	1.01	5.56	4.31	1023.6	-5	2.7
2000	4	7	200047	19	14	5.1	6.4	0.89	5.26	4.16	1024.1	-4.4	2.7
2000	4	7	200047	20	347	4.1	6	0.75	4.76	4	1023.8	-4	2.8
2000	4	7	200047	21	346	3.9	5.2	0.65	4.76	3.95	1024	-3.4	2.8
2000	4	7	200047	22	347	5.1	6.1	0.57	4.55	3.74	1023.2	-2.9	2.8
2000	4	7	200047	23	999	99	99	99	99	99	9999	999	999
2000	4	8	200048	0	345	6.1	7.8	0.45	4.35	3.39	1022.8	-1.4	2.8
2000	4	8	200048	1	345	9.4	10.7	0.46	2.94	3.14	1022.5	-1.2	2.8
2000	4	8	200048	2	351	10.4	12.7	0.96	4	3.58	1023	-0.9	2.7
2000	4	8	200048	3	5	11.3	12.9	1.3	5.26	4.13	1022.9	-0.4	2.7
2000	4	8	200048	4	10	9.2	10.8	1.26	5.56	4.29	1023	-0.6	2.7
2000	4	8	200048	5	8	8.3	10	1.05	4.76	3.95	1023	-0.7	2.8
2000	4	8	200048	6	5	7.6	8.8	0.92	4.55	3.83	1022.8	-0.8	2.7
