year,response
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
1993,StrAgree
