bodmass,fmr,enviro
90447.2,17548.5,desert
427.4,274,desert
295.8,353.5,desert
179,157.8,desert
141.6,195.1,desert
146.5,87.1,desert
85.7,73.5,desert
72.5,117.3,desert
25.7,48.1,desert
28.4,59.5,desert
23.2,73.5,desert
6.5,30.1,desert
13424.8,11338.2,nondesert
8402.7,3367.2,nondesert
6012.7,8819.7,nondesert
4302.5,4513.8,nondesert
3891.5,5564.9,nondesert
3291.9,4908.1,nondesert
2604.3,4706.8,nondesert
3639.5,2408.9,nondesert
3183.5,2619.3,nondesert
3078.7,2124.6,nondesert
1128,686.1,nondesert
1055,1285.6,nondesert
1090.9,1873.8,nondesert
954.2,1873.8,nondesert
863.1,1584.9,nondesert
754.9,1519.9,nondesert
399.7,1087.3,nondesert
399.7,777.9,nondesert
361.5,336.7,nondesert
191.4,351.1,nondesert
179,366.1,nondesert
167.4,715.4,nondesert
132.5,605.1,nondesert
119.8,490.8,nondesert
85.7,381.8,nondesert
77.5,336.7,nondesert
63.4,273.1,nondesert
75,231,nondesert
82.9,221.5,nondesert
63.4,118.2,nondesert
61.3,123.3,nondesert
55.5,152,nondesert
46.9,128.6,nondesert
50.2,165.3,nondesert
42.5,165.3,nondesert
33.6,84.6,nondesert
27.5,104.3,nondesert
24.9,95.9,nondesert
20.3,139.8,nondesert
19,113.4,nondesert
21,92,nondesert
19,74.6,nondesert
17.8,88.2,nondesert
14.1,88.2,nondesert
12.7,81.1,nondesert
11.1,68.6,nondesert
13.2,58,nondesert
11.5,47.1,nondesert
9.4,49.1,nondesert
10.8,55.6,nondesert
9.4,58,nondesert
10.4,65.8,nondesert
8.8,84.6,nondesert
7.4,63.1,nondesert
6.3,63.1,nondesert
5,41.5,nondesert
4.5,33.7,nondesert
3.7,31,nondesert
8.5,38.2,nondesert
