age,tel.len,species
2,7429,zebra.finch
1.8,7410,zebra.finch
1.8,7553,zebra.finch
1.9,8078,zebra.finch
1.9,8107,zebra.finch
1.8,8135,zebra.finch
1.5,8116,zebra.finch
1.2,8097,zebra.finch
1.2,8031,zebra.finch
1.1,7973,zebra.finch
1.2,8479,zebra.finch
1,8584,zebra.finch
0.9,8603,zebra.finch
1,8889,zebra.finch
1,8908,zebra.finch
0.3,8250,zebra.finch
0.3,8279,zebra.finch
0.3,8317,zebra.finch
0.3,8632,zebra.finch
0.2,8622,zebra.finch
0.2,8565,zebra.finch
0.2,8594,zebra.finch
0.2,8823,zebra.finch
0.1,8851,zebra.finch
0.2,9071,zebra.finch
0.2,9252,zebra.finch
7,13466,tree.swallow
6,14911,tree.swallow
5,14060,tree.swallow
5,12767,tree.swallow
5,12569,tree.swallow
4,12033,tree.swallow
4,13571,tree.swallow
4,16309,tree.swallow
3,15470,tree.swallow
3,15342,tree.swallow
3,14724,tree.swallow
3,14503,tree.swallow
3,14200,tree.swallow
3,13734,tree.swallow
2,12849,tree.swallow
2,13221,tree.swallow
2,14014,tree.swallow
2,14165,tree.swallow
2,14293,tree.swallow
2,14550,tree.swallow
2,14631,tree.swallow
2,14783,tree.swallow
2,15109,tree.swallow
2,15610,tree.swallow
2,15889,tree.swallow
2,16344,tree.swallow
1,17066,tree.swallow
1,16402,tree.swallow
1,14876,tree.swallow
1,13711,tree.swallow
0,14200,tree.swallow
0,14911,tree.swallow
0,14969,tree.swallow
0,15482,tree.swallow
0,15528,tree.swallow
0,15563,tree.swallow
0,15668,tree.swallow
0,15703,tree.swallow
0,15750,tree.swallow
0,16017,tree.swallow
0,16297,tree.swallow
0,16577,tree.swallow
0,16903,tree.swallow
0,17206,tree.swallow
14.4,5514,penguin
12.5,7012,penguin
12.4,7127,penguin
11.4,5991,penguin
10.4,6650,penguin
7.4,5975,penguin
7.4,6436,penguin
7.4,6798,penguin
7.4,7292,penguin
7.4,7769,penguin
7.4,7851,penguin
7.4,7934,penguin
6.4,8971,penguin
6.4,7539,penguin
6.4,7061,penguin
6.4,6666,penguin
3.5,7144,penguin
5.4,8197,penguin
4.4,8230,penguin
3.5,9102,penguin
2.5,9201,penguin
0.3,9432,penguin
25,7715,tern
21.1,8055,tern
21,8513,tern
19,8460,tern
19,8289,tern
20,7885,tern
19,7587,tern
18,7896,tern
18,7928,tern
17,8204,tern
17,8300,tern
17,8396,tern
15,8609,tern
15,8343,tern
14,8077,tern
14,8406,tern
13,8672,tern
13,8811,tern
11.9,8949,tern
11,8470,tern
11,8438,tern
10,8226,tern
10,8481,tern
9,8534,tern
8.9,8002,tern
8,8428,tern
8,8481,tern
8,9353,tern
5,9428,tern
4,9364,tern
4,8726,tern
3,8321,tern
3,9630,tern
-0.1,9747,tern
0,9662,tern
0,9374,tern
-0.1,9332,tern
0,9257,tern
-0.1,9109,tern
0,9002,tern
0,8938,tern
-0.1,8811,tern
33,19415,storm.petrel
32,19746,storm.petrel
30,19577,storm.petrel
27,19718,storm.petrel
25,18958,storm.petrel
22.9,19401,storm.petrel
22,18204,storm.petrel
21,18387,storm.petrel
20,18810,storm.petrel
21,19613,storm.petrel
17,19859,storm.petrel
17,19415,storm.petrel
17,18901,storm.petrel
16,18901,storm.petrel
15,18965,storm.petrel
14,19106,storm.petrel
10,19331,storm.petrel
10,19120,storm.petrel
10,19042,storm.petrel
14,18697,storm.petrel
13,18542,storm.petrel
12,18528,storm.petrel
12,18423,storm.petrel
12,18310,storm.petrel
11,18570,storm.petrel
0,18254,storm.petrel
0,17493,storm.petrel
0,17303,storm.petrel
0,17134,storm.petrel
0,17106,storm.petrel
0,16993,storm.petrel
0,16866,storm.petrel
0,16641,storm.petrel
