river,year,month,cfs
Brule,1943,January,112
Brule,1944,January,116
Brule,1945,January,118
Brule,1946,January,130
Brule,1947,January,143
Brule,1948,January,104
Brule,1949,January,124
Brule,1950,January,112
Brule,1951,January,131
Brule,1952,January,146
Brule,1953,January,135
Brule,1954,January,149
Brule,1955,January,149
Brule,1956,January,144
Brule,1957,January,138
Brule,1958,January,142
Brule,1959,January,107
Brule,1960,January,123
Brule,1961,January,115
Brule,1962,January,116
Brule,1963,January,121
Brule,1964,January,119
Brule,1965,January,124
Brule,1966,January,159
Brule,1967,January,137
Brule,1968,January,121
Brule,1969,January,136
Brule,1970,January,119
Brule,1971,January,137
Brule,1972,January,152
Brule,1973,January,160
Brule,1974,January,140
Brule,1975,January,136
Brule,1976,January,135
Brule,1977,January,122
Brule,1978,January,138
Brule,1979,January,124
Brule,1980,January,127
Brule,1981,January,124
Brule,1985,January,154
Brule,1986,January,141
Brule,1987,January,151
Brule,1988,January,135
Brule,1943,February,114
Brule,1944,February,128
Brule,1945,February,138
Brule,1946,February,141
Brule,1947,February,136
Brule,1948,February,104
Brule,1949,February,118
Brule,1950,February,129
Brule,1951,February,128
Brule,1952,February,152
Brule,1953,February,128
Brule,1954,February,157
Brule,1955,February,147
Brule,1956,February,133
Brule,1957,February,148
Brule,1958,February,138
Brule,1959,February,109
Brule,1960,February,114
Brule,1961,February,116
Brule,1962,February,119
Brule,1963,February,118
Brule,1964,February,118
Brule,1965,February,120
Brule,1966,February,187
Brule,1967,February,125
Brule,1968,February,112
Brule,1969,February,139
Brule,1970,February,137
Brule,1971,February,133
Brule,1972,February,151
Brule,1973,February,134
Brule,1974,February,141
Brule,1975,February,131
Brule,1976,February,142
Brule,1977,February,132
Brule,1978,February,117
Brule,1979,February,133
Brule,1980,February,127
Brule,1981,February,130
Brule,1985,February,140
Brule,1986,February,135
Brule,1987,February,147
Brule,1988,February,133
Brule,1943,March,105
Brule,1944,March,127
Brule,1945,March,265
Brule,1946,March,200
Brule,1947,March,126
Brule,1948,March,133
Brule,1949,March,130
Brule,1950,March,123
Brule,1951,March,151
Brule,1952,March,159
Brule,1953,March,195
Brule,1954,March,158
Brule,1955,March,133
Brule,1956,March,133
Brule,1957,March,137
Brule,1958,March,140
Brule,1959,March,113
Brule,1960,March,117
Brule,1961,March,144
Brule,1962,March,137
Brule,1963,March,132
Brule,1964,March,121
Brule,1965,March,132
Brule,1966,March,225
Brule,1967,March,154
Brule,1968,March,157
Brule,1969,March,146
Brule,1970,March,135
Brule,1971,March,160
Brule,1972,March,165
Brule,1973,March,251
Brule,1974,March,139
Brule,1975,March,144
Brule,1976,March,193
Brule,1977,March,164
Brule,1978,March,136
Brule,1979,March,142
Brule,1980,March,132
Brule,1981,March,172
Brule,1985,March,173
Brule,1986,March,162
Brule,1987,March,170
Brule,1988,March,144
Brule,1943,April,222
Brule,1944,April,258
Brule,1945,April,307
Brule,1946,April,233
Brule,1947,April,273
Brule,1948,April,277
Brule,1949,April,206
Brule,1950,April,299
Brule,1951,April,371
Brule,1952,April,395
Brule,1953,April,300
Brule,1954,April,303
Brule,1955,April,278
Brule,1956,April,313
Brule,1957,April,250
Brule,1958,April,193
Brule,1959,April,157
Brule,1960,April,324
Brule,1961,April,280
Brule,1962,April,194
Brule,1963,April,190
Brule,1964,April,218
Brule,1965,April,349
Brule,1966,April,298
Brule,1967,April,304
Brule,1968,April,251
Brule,1969,April,390
Brule,1970,April,252
Brule,1971,April,379
Brule,1972,April,332
Brule,1973,April,230
Brule,1974,April,250
Brule,1975,April,287
Brule,1976,April,399
Brule,1977,April,187
Brule,1978,April,304
Brule,1979,April,324
Brule,1980,April,224
Brule,1981,April,307
Brule,1985,April,276
Brule,1986,April,361
Brule,1987,April,165
Brule,1988,April,269
Brule,1943,May,196
Brule,1944,May,339
Brule,1945,May,170
Brule,1946,May,153
Brule,1947,May,212
Brule,1948,May,157
Brule,1949,May,266
Brule,1950,May,495
Brule,1951,May,277
Brule,1952,May,212
Brule,1953,May,316
Brule,1954,May,386
Brule,1955,May,182
Brule,1956,May,225
Brule,1957,May,182
Brule,1958,May,140
Brule,1959,May,210
Brule,1960,May,269
Brule,1961,May,363
Brule,1962,May,330
Brule,1963,May,183
Brule,1964,May,263
Brule,1965,May,260
Brule,1966,May,194
Brule,1967,May,176
Brule,1968,May,240
Brule,1969,May,209
Brule,1970,May,265
Brule,1971,May,220
Brule,1972,May,274
Brule,1973,May,219
Brule,1974,May,230
Brule,1975,May,235
Brule,1976,May,155
Brule,1977,May,162
Brule,1978,May,189
Brule,1979,May,316
Brule,1980,May,148
Brule,1981,May,209
Brule,1985,May,236
Brule,1986,May,313
Brule,1987,May,162
Brule,1988,May,169
Brule,1943,June,229
Brule,1944,June,416
Brule,1945,June,282
Brule,1946,June,178
Brule,1947,June,156
Brule,1948,June,122
Brule,1949,June,150
Brule,1950,June,156
Brule,1951,June,348
Brule,1952,June,205
Brule,1953,June,406
Brule,1954,June,277
Brule,1955,June,195
Brule,1956,June,149
Brule,1957,June,181
Brule,1958,June,151
Brule,1959,June,184
Brule,1960,June,179
Brule,1961,June,154
Brule,1962,June,178
