County,Year,Ttl.Antlered,Ttl.Antlerless,Ttl.All,Gun.Antlered,Gun.Antlerless,Gun.All,Bow.Antlered,Bow.Antlerless,Bow.All,Xbow.Antlered,Xbow.Antlerless,Xbow.All
Ashland,2010,1350,365,1715,1029,165,1194,321,200,521,0,0,0
Ashland,2011,1371,1178,2549,1092,885,1977,279,293,572,0,0,0
Ashland,2012,1391,1196,2587,1081,866,1947,310,330,640,0,0,0
Ashland,2013,1047,822,1869,817,587,1404,230,235,465,0,0,0
Ashland,2014,831,144,975,612,121,733,102,15,117,113,7,120
Ashland,2015,696,136,832,461,107,568,95,11,106,136,12,148
Ashland,2016,1066,17,1083,736,12,748,124,0,124,205,5,210
Ashland,2017,1271,112,1383,898,91,989,108,8,116,259,6,265
Ashland,2018,1281,529,1810,937,351,1288,92,47,139,239,120,359
Ashland,2019,874,315,1189,528,209,737,106,23,129,232,80,312
Bayfield,2010,2702,2297,4999,2128,1737,3865,574,560,1134,0,0,0
Bayfield,2011,2722,2484,5206,2182,1936,4118,540,548,1088,0,0,0
Bayfield,2012,2857,3064,5921,2304,2296,4600,553,768,1321,0,0,0
Bayfield,2013,2221,1768,3989,1770,1321,3091,451,447,898,0,0,0
Bayfield,2014,1896,357,2253,1372,243,1615,253,23,276,204,15,219
Bayfield,2015,2029,424,2453,1424,287,1711,277,13,290,260,33,293
Bayfield,2016,2885,486,3371,2134,316,2450,263,11,274,349,29,378
Bayfield,2017,3267,2663,5930,2337,1811,4148,318,282,600,465,384,849
Bayfield,2018,2952,2693,5645,2171,1988,4159,238,225,463,442,386,828
Bayfield,2019,2051,1646,3697,1339,1009,2348,230,211,441,438,372,810
Douglas,2010,3284,4332,7616,2501,3354,5855,783,978,1761,0,0,0
Douglas,2011,2738,3643,6381,2053,2643,4696,685,1000,1685,0,0,0
Douglas,2012,3094,3419,6513,2354,2442,4796,740,977,1717,0,0,0
Douglas,2013,2256,2408,4664,1733,1781,3514,523,627,1150,0,0,0
Douglas,2014,1897,499,2396,1339,339,1678,290,56,346,234,49,283
Douglas,2015,1999,639,2638,1354,412,1766,301,79,380,304,57,361
Douglas,2016,2877,635,3512,2033,445,2478,334,38,372,450,67,517
Douglas,2017,3384,1163,4547,2384,779,3163,365,104,469,544,164,708
Douglas,2018,2976,1346,4322,2174,968,3142,251,113,364,491,206,697
Douglas,2019,2282,717,2999,1443,521,1964,268,50,318,533,112,645
Iron,2010,684,37,721,543,31,574,141,6,147,0,0,0
Iron,2011,748,567,1315,586,449,1035,162,118,280,0,0,0
Iron,2012,744,508,1252,611,404,1015,133,104,237,0,0,0
Iron,2013,460,197,657,386,137,523,74,60,134,0,0,0
Iron,2014,241,67,308,183,46,229,26,1,27,28,7,35
Iron,2015,266,85,351,197,48,245,20,1,21,38,3,41
Iron,2016,425,72,497,318,50,368,45,2,47,58,9,67
Iron,2017,633,60,693,474,42,516,45,1,46,112,4,116
Iron,2018,557,49,606,418,31,449,39,1,40,99,10,109
Iron,2019,414,107,521,261,65,326,41,15,56,112,23,135
