party,agreement
PC,1
PC,1
PC,1
PC,1
PC,1
PC,1
PC,1
PC,1
PC,1
PC,2
PC,2
PC,2
PC,2
PC,2
PC,2
PC,2
PC,3
PC,3
PC,3
PC,3
PC,3
PC,3
PC,3
PC,4
PC,4
PC,4
PC,4
PC,4
PC,4
PC,4
PC,4
PC,4
PC,4
PC,4
PC,4
PC,4
PC,4
PC,4
PC,4
PC,4
PC,4
PC,4
PC,4
PC,4
PC,4
PC,4
PC,4
PC,4
PC,4
PC,4
PC,4
PC,5
PC,5
PC,5
PC,5
PC,5
PC,5
PC,5
PC,5
PC,5
PC,5
PC,5
PC,5
PC,5
PC,5
PC,5
PC,5
PC,5
PC,5
PC,5
PC,5
PC,5
PC,5
PC,5
PC,5
PC,5
PC,5
PC,5
PC,5
PC,5
PC,5
PC,5
PC,5
PC,5
PC,5
PC,5
PC,5
PC,5
PC,5
PC,5
PC,5
PC,5
PC,5
PC,5
PC,5
PC,5
PC,5
PC,5
PC,5
PC,5
PC,5
PC,5
PC,6
PC,6
PC,6
PC,6
PC,6
PC,6
PC,6
PC,6
PC,6
PC,6
PC,6
PC,6
PC,6
PC,6
PC,6
PC,6
PC,6
PC,6
PC,6
PC,6
PC,6
PC,6
PC,6
PC,6
PC,6
PC,6
PC,6
PC,6
PC,6
PC,6
PC,6
PC,6
PC,6
PC,6
PC,6
PC,6
PC,6
PC,6
PC,6
PC,6
PC,6
PC,6
PC,6
PC,6
PC,6
PC,6
PC,6
PC,6
PC,6
PC,6
PC,6
PC,6
PC,6
PC,6
PC,7
PC,7
PC,7
PC,7
PC,7
PC,7
PC,7
PC,7
PC,7
PC,7
PC,7
PC,7
PC,7
PC,7
PC,7
PC,7
PC,7
PC,7
PC,7
PC,7
PC,7
PC,7
PC,7
PC,7
PC,7
PC,7
PC,7
PC,7
PC,7
PC,7
PC,7
PC,7
PC,7
PC,7
PC,7
PC,7
PC,7
PC,7
PC,7
PC,7
PC,7
PC,7
PC,7
PC,7
PC,7
PC,7
PC,7
PC,7
PC,7
PC,7
PC,7
PC,7
PC,7
PC,7
PC,7
PC,7
PC,7
PC,7
Liberal,1
Liberal,1
Liberal,1
Liberal,2
Liberal,2
Liberal,2
Liberal,2
Liberal,2
Liberal,3
Liberal,3
Liberal,3
Liberal,3
Liberal,3
Liberal,3
Liberal,3
Liberal,3
Liberal,3
Liberal,3
Liberal,3
Liberal,4
Liberal,4
Liberal,4
Liberal,5
Liberal,5
Liberal,5
Liberal,5
Liberal,5
Liberal,5
Liberal,5
Liberal,5
Liberal,5
Liberal,5
Liberal,5
Liberal,5
Liberal,6
Liberal,6
Liberal,6
Liberal,6
Liberal,6
Liberal,6
Liberal,6
Liberal,7
Liberal,7
Liberal,7
Liberal,7
Liberal,7
Liberal,7
Liberal,7
Liberal,7
Liberal,7
Liberal,7
Liberal,7
Liberal,7
