fisher,speed,hr
F6,3.99,260
F6,6.29,273
F6,4.14,279
F6,3.83,285
F6,3.52,299
F6,6.03,296
F6,6.55,300
F6,5.4,301
F6,6.03,306
F6,5.82,307
F6,5.56,311
F6,8.76,324
F6,10.54,322
F6,10.01,329
F6,10.43,335
F6,10.96,331
F6,10.33,349
F6,10.33,352
F6,9.49,351
F9,3.4,237
F9,2.51,260
F9,4.86,270
F9,2.46,277
F9,2.72,290
F9,2.2,308
F9,4.03,317
F9,4.81,316
F9,7.99,309
F9,7.73,337
F9,7.21,341
F9,6.37,341
F9,6.9,355
F9,8.62,358
F9,9.24,358
F9,9.5,364
F9,9.56,338
F9,12.48,346
F10,3.63,267
F10,3.47,279
F10,5.21,289
F10,5.16,296
F10,4.63,296
F10,4.79,308
F10,4.47,317
F10,3.79,308
F10,7.11,331
F10,7.53,312
F10,8.79,315
F10,8.26,327
F10,8.47,336
F10,9.37,354
F10,9.37,363
