# Landings (in millions) of cod by age and year
# Data from http://www.hafro.is/~lorna/haddockcatch
#
Year     age2     age3    age4    age5    age6   age7    age8    age9
1971    0.486   4.613   5.794   9.026   3.431   1.951   0.302   0.055
1972    2.301   4.431   9.386   4.527   2.321   0.381   0.207   0.041
1973    2.463   9.634   4.922   4.512   2.599   1.614   0.47    0.29
1974    1.078   3.565   11.641  4.625   2.18    0.736   0.421   0.084
1975    0.581   6.732   8.395   7.528   1.614   0.764   0.156   0.091
1976    1.004   7.808   8.689   5.481   3.131   0.493   0.149   0.055
1977    0.061   1.515   8.655   6.472   2.632   1.342   0.247   0.122
1978    0.108   0.579   2.132   7.188   4.481   1.821   0.627   0.094
1979    0.161   2.066   4.074   6.559   9.769   1.887   0.474   0.061
1980    0.595   1.384   11.476  4.296   3.796   3.73    0.544   0.091
1981    0.001   0.516   4.929   16.961  6.021   2.835   1.81    0.169
1982    0.05    0.286   2.698   10.703  14.115  2.288   1.167   0.816
1983    0.001   0.705   1.498   4.645   10.301  8.808   0.874   0.241
1984    0.06    0.755   4.97    1.176   4.875   3.772   4.446   0.171
1985    0.427   1.773   4.981   6.058   0.837   1.564   2.475   2.212
1986    0.196   3.681   3.822   4.933   5.761   0.493   0.852   0.898
1987    2.237   7.559   7.5     2.696   2.249   1.194   0.151   0.208
1988    0.133   10.068  15.927  5.598   1.26    1.009   0.577   0.058
1989    0.078   2.603   23.077  9.703   3.118   0.541   0.507   0.144
1990    0.446   2.603   7.994   23.803  6.654   0.857   0.167   0.071
1991    2.461   1.282   3.942   6.711   13.65   2.956   0.398   0.052
1992    2.726   7.343   4.181   4.158   3.989   5.936   1.314   0.132
1993    0.218   11.617  12.642  3.167   1.786   1.504   2.263   0.379
1994    0.28    3.03    27.025  10.722  1.55    0.756   0.404   0.7
1995    2.357   6.327   5.667   23.357  5.605   0.61    0.263   0.21
1996    1.467   8.982   7.076   4.751   13.963  2.446   0.228   0.087
1997    1.375   3.69    11.127  4.885   2.54    4.981   0.692   0.052
1998    0.207   8.109   5.984   8.39    2.42    1.502   1.884   0.207
1999    1.077   1.455   16.897  4.844   4.982   0.942   0.588   0.514
