meter	type	building	jul	aug	sept
0070852294	E	SOEI	1744	1753	1768
000W179980	G	SOEI	4	5	4
0081529078	E	Warehouse	2	34	43
0001738971	E	Interim Visual Arts Bldg.	679	509	1238
000Z035564	G	Interim Visual Arts Bldg.	51	45	33
0028686873	E	Sig O Annex	1186	1047	706
000P550268	G	Sig O Annex	0	0	0
0002757299	E	Fenenga Hall	4920	4680	11040
0006586185	G	Fenenga Hall	165	155	406
0000065136	G	Mead (East & West) 50/50	429		452
NA	E	Mead Protective Light	NA	35	40
NA	E	Nightwatch Lights	NA	183	208
0002716188	E	Alvord Theatre	5160	5200	5480
0003751641	E	Athletics Building	15920	17080	18480
0000983538	G	Athletics Building	227	195	223
0078818781	E	McMillan Hall	5240	7000	12640
0006481563	G	McMillan Hall	83		266
0034511837	E	Build. & Grounds Shop	1664	1914	1763
000N025525	G	Build. & Grounds Shop	4	6	11
0023959646	E	Townhouse Commons	781	855	1080
000Z035636	G	Townhouse Commons	103	92	168
0033173477	E	Townhouse #8	324	355	549
0062924333	E	Townhouse #3	72	96	96
0018015962	E	Townhouse #2	65	79	170
0015309797	E	Townhouse #4	106	225	296
0089044291	E	Townhouse #6	77	96	275
0030562380	E	Townhouse #7	284	137	507
0021595508	E	Townhouse #5	172	248	387
0023380026	E	Townhouse #1	113	111	238
0002118390	E	ELLC	8080	NA	21360
0006396865	G	ELLC	98	NA	45
0006254626	G	ELLC	NA	NA	349
0070684741	E	Bro House	335	355	435
000W179977	G	Bro House	11	12	29
0022703939	E	President's House	NA	3173	7795
000N381866	G	President's House	NA	18	24
0001745436	E	Brownell Hall	19160	20280	17440
0006281844	G	Brownell Hall	0	0	0
000T203330	G	Wakefield Hall	9	9	9
000003446893	E	Wheeler Hall	17120	16080	18200
0004474237	E	Wheeler Hall	1360	0	1680
0000A01316	G	Wheeler Hall	0	1560	0
0003757868	E	Memorial Hall	2477	3238	6829
0005359390	G	Memorial Hall	171	200	313
0073254896	E	Wilson House		482	526
0007812922	G	Wilson House		11	45
0019018041	E	Peters Field Station	60	67	314
0089297573	E	Peters Field Station	NA	NA	NA
0081614645	E	Intern House/Terwilliger Rd	NA	NA	NA
0003567974	E	Science Center	71840	72480	79120
0000995839	G	Science Center	0	0	0
0002330525 	E	Ponzio Campus Center 	77400	75920	82560
0000010902	G	Ponzio Campus Center 	511	433	1018
0006332524	G	Ponzio Campus Center 	NA	NA	NA
0003485930	E	Mead (East & West)	4760	4400	6080
0003811810	E	Dexter Library	12801	13453	13623
00T3604265	G	Dexter Library	16	3	11
0094149650	E	1208 2nd Ave. W.	NA	231	450
000U037827	G	1208 2nd Ave. W.	NA	56	141
