season,decade,period,temp,days
1955,1950,pre-1975,22.94,87
1956,1950,pre-1975,23.02,137
1957,1950,pre-1975,25.68,106
1958,1950,pre-1975,19.96,97
1959,1950,pre-1975,24.8,105
1960,1960,pre-1975,23.98,118
1961,1960,pre-1975,22.1,118
1962,1960,pre-1975,20.3,136
1963,1960,pre-1975,24.2,91
1964,1960,pre-1975,NA,NA
1965,1960,pre-1975,NA,NA
1966,1960,pre-1975,22.74,107
1967,1960,pre-1975,24.16,96
1968,1960,pre-1975,24.94,114
1969,1960,pre-1975,22.4,125
1970,1970,pre-1975,22.14,115
1971,1970,pre-1975,20.84,118
1972,1970,pre-1975,25.66,82
1973,1970,pre-1975,21.73,115
1974,1970,pre-1975,24.49,97
1975,1970,post-1975,24.13,104
1976,1970,post-1975,22.17,146
1977,1970,post-1975,21.73,126
1978,1970,post-1975,20.41,141
1979,1970,post-1975,24.41,111
1980,1980,post-1975,23.95,123
1981,1980,post-1975,20.95,118
1982,1980,post-1975,26.71,83
1983,1980,post-1975,22.81,48
1984,1980,post-1975,23.11,118
1985,1980,post-1975,23.33,116
1986,1980,post-1975,28.83,81
1987,1980,post-1975,23.11,116
1988,1980,post-1975,21.47,123
1989,1980,post-1975,23.97,112
1990,1990,post-1975,24.75,99
1991,1990,post-1975,23.61,102
1992,1990,post-1975,23.08,118
1993,1990,post-1975,21.24,63
1994,1990,post-1975,26.63,62
1995,1990,post-1975,NA,NA
1996,1990,post-1975,23.88,132
