Species,suborder,infraorder,Family,SVL,Weight,limbs,Sex,mass_measure
Acanthocercus atricollis,Sauria,Acrodontia,Agamidae,145.00,121.5,legged,unsexed,heaviest
Acanthocercus cyanogaster,Sauria,Acrodontia,Agamidae,107.00,39.0,legged,unsexed,heaviest
Acanthocercus phillipsii,Sauria,Acrodontia,Agamidae,67.00,8.6,legged,unsexed,heaviest
Agama agama,Sauria,Acrodontia,Agamidae,135.00,100.0,legged,male,heaviest
Agama caudospinosa,Sauria,Acrodontia,Agamidae,130.27,82.1,legged,male,mean
Agama hispida,Sauria,Acrodontia,Agamidae,66.60,14.1,legged,unsexed,mean
Agama impalearis,Sauria,Acrodontia,Agamidae,131.00,100.0,legged,male,heaviest
Agama mwanzae,Sauria,Acrodontia,Agamidae,160.00,110.0,legged,unsexed,heaviest
Agama planiceps,Sauria,Acrodontia,Agamidae,114.00,49.3,legged,unsexed,heaviest
Agama rueppelli,Sauria,Acrodontia,Agamidae,72.50,26.8,legged,female,mean
Calotes andamanensis,Sauria,Acrodontia,Agamidae,84.10,12.5,legged,male,heaviest
Calotes aurantolabium,Sauria,Acrodontia,Agamidae,67.88,6.3,legged,female,heaviest
Calotes calotes,Sauria,Acrodontia,Agamidae,101.00,38.2,legged,unsexed,heaviest
Calotes versicolor,Sauria,Acrodontia,Agamidae,100.25,23.8,legged,male,mean
Chlamydosaurus kingii,Sauria,Acrodontia,Agamidae,227.23,635.0,legged,unsexed,mean
Ctenophorus adelaidensis,Sauria,Acrodontia,Agamidae,46.50,2.0,legged,unsexed,mean
Ctenophorus caudicinctus,Sauria,Acrodontia,Agamidae,101.00,13.0,legged,unsexed,heaviest
Ctenophorus clayi,Sauria,Acrodontia,Agamidae,49.80,2.7,legged,unsexed,mean
Ctenophorus fionni,Sauria,Acrodontia,Agamidae,96.00,11.6,legged,unsexed,mean
Ctenophorus fordi,Sauria,Acrodontia,Agamidae,53.15,4.1,legged,unsexed,mean
Ctenophorus isolepis,Sauria,Acrodontia,Agamidae,64.99,5.5,legged,unsexed,mean
Ctenophorus maculatus,Sauria,Acrodontia,Agamidae,67.00,8.7,legged,unsexed,heaviest
Ctenophorus maculosus,Sauria,Acrodontia,Agamidae,64.60,8.8,legged,male,mean
Ctenophorus nuchalis,Sauria,Acrodontia,Agamidae,95.25,27.0,legged,unsexed,mean
Ctenophorus ornatus,Sauria,Acrodontia,Agamidae,93.00,20.0,legged,unsexed,heaviest
Ctenophorus pictus,Sauria,Acrodontia,Agamidae,62.50,8.0,legged,unsexed,mean
Ctenophorus reticulatus,Sauria,Acrodontia,Agamidae,88.53,15.1,legged,unsexed,mean
Ctenophorus scutulatus,Sauria,Acrodontia,Agamidae,94.87,18.3,legged,unsexed,mean
Diporiphora winneckei,Sauria,Acrodontia,Agamidae,56.90,2.5,legged,unsexed,mean
Draco biaro,Sauria,Acrodontia,Agamidae,73.25,4.2,legged,male,mean
Draco bimaculatus,Sauria,Acrodontia,Agamidae,66.40,3.9,legged,female,mean
Draco blanfordii,Sauria,Acrodontia,Agamidae,105.00,15.0,legged,unsexed,mean
Draco caerulhians,Sauria,Acrodontia,Agamidae,74.59,6.4,legged,female,mean
Draco cornutus,Sauria,Acrodontia,Agamidae,80.37,8.0,legged,female,mean
Draco cristatellus,Sauria,Acrodontia,Agamidae,88.00,9.9,legged,female,heaviest
Draco cyanopterus,Sauria,Acrodontia,Agamidae,91.33,12.6,legged,female,mean
Draco fimbriatus,Sauria,Acrodontia,Agamidae,86.50,18.7,legged,unsexed,mean
Draco guentheri,Sauria,Acrodontia,Agamidae,71.50,4.4,legged,male,mean
Draco haematopogon,Sauria,Acrodontia,Agamidae,80.75,5.7,legged,unsexed,mean
Draco lineatus,Sauria,Acrodontia,Agamidae,71.93,6.0,legged,female,mean
Draco maculatus,Sauria,Acrodontia,Agamidae,75.00,6.6,legged,female,mean
Draco maximus,Sauria,Acrodontia,Agamidae,128.55,32.8,legged,female,mean
Draco melanopogon,Sauria,Acrodontia,Agamidae,81.35,5.3,legged,female,mean
Draco mindanensis,Sauria,Acrodontia,Agamidae,91.50,7.3,legged,male,mean
Draco obscurus,Sauria,Acrodontia,Agamidae,94.69,9.3,legged,male,mean
Draco ornatus,Sauria,Acrodontia,Agamidae,83.58,8.2,legged,female,mean
Draco palawanensis,Sauria,Acrodontia,Agamidae,81.53,6.9,legged,female,mean
Draco quadrasi,Sauria,Acrodontia,Agamidae,69.75,3.5,legged,male,mean
Draco quinquefasciatus,Sauria,Acrodontia,Agamidae,99.17,11.6,legged,female,mean
Draco reticulatus,Sauria,Acrodontia,Agamidae,82.24,10.2,legged,female,mean
Draco spilopterus,Sauria,Acrodontia,Agamidae,87.02,10.6,legged,female,mean
Draco taeniopterus,Sauria,Acrodontia,Agamidae,71.60,4.8,legged,female,mean
Draco volans,Sauria,Acrodontia,Agamidae,78.00,5.4,legged,female,mean
Japalura swinhonis,Sauria,Acrodontia,Agamidae,74.20,11.2,legged,male,mean
Laudakia caucasia,Sauria,Acrodontia,Agamidae,150.00,69.8,legged,unsexed,mean
Laudakia lehmanni,Sauria,Acrodontia,Agamidae,120.58,54.9,legged,unsexed,mean
Laudakia stellio,Sauria,Acrodontia,Agamidae,100.75,53.4,legged,male,mean
Laudakia tuberculata,Sauria,Acrodontia,Agamidae,150.00,94.2,legged,unsexed,heaviest
Leiolepis belliana,Sauria,Acrodontia,Agamidae,177.80,40.0,legged,unsexed,heaviest
Leiolepis reevesii,Sauria,Acrodontia,Agamidae,105.11,18.6,legged,female,mean
Lophognathus longirostris,Sauria,Acrodontia,Agamidae,89.00,10.4,legged,unsexed,mean
Lophognathus temporalis,Sauria,Acrodontia,Agamidae,100.13,38.1,legged,unsexed,mean
Moloch horridus,Sauria,Acrodontia,Agamidae,89.70,31.4,legged,unsexed,mean
Otocryptis wiegmanni,Sauria,Acrodontia,Agamidae,77.00,8.0,legged,male,heaviest
Phrynocephalus guinanensis,Sauria,Acrodontia,Agamidae,80.00,15.2,legged,female,heaviest
Phrynocephalus guttatus,Sauria,Acrodontia,Agamidae,46.96,4.1,legged,male,mean
Phrynocephalus helioscopus,Sauria,Acrodontia,Agamidae,53.00,6.9,legged,unsexed,mean
Phrynocephalus interscapularis,Sauria,Acrodontia,Agamidae,35.88,1.0,legged,unsexed,mean
Phrynocephalus mystaceus,Sauria,Acrodontia,Agamidae,101.00,34.3,legged,unsexed,heaviest
Phrynocephalus przewalskii,Sauria,Acrodontia,Agamidae,52.60,5.4,legged,unsexed,mean
Phrynocephalus vlangalii,Sauria,Acrodontia,Agamidae,62.10,8.1,legged,female,mean
Physignathus cocincinus,Sauria,Acrodontia,Agamidae,197.50,288.0,legged,unsexed,mean
Physignathus lesueurii,Sauria,Acrodontia,Agamidae,250.00,559.2,legged,unsexed,heaviest
Pogona barbata,Sauria,Acrodontia,Agamidae,250.00,373.0,legged,unsexed,heaviest
Pogona minor,Sauria,Acrodontia,Agamidae,126.24,30.8,legged,unsexed,mean
