cfh,mass,group
2.77,5.2,placentals
3.92,13.1,placentals
4.11,13.1,placentals
5.43,39.2,placentals
5.71,36.5,placentals
5.91,39.2,placentals
6.12,41,placentals
5.98,51,placentals
6.4,58.2,placentals
6.66,60.8,placentals
6.97,60.8,placentals
7.81,83.9,placentals
8.13,103,placentals
8.56,95.7,placentals
3.17,6,marsupials
3.47,5.7,marsupials
3.49,7.1,marsupials
3.78,10.1,marsupials
3.8,10.4,marsupials
4.26,13.3,marsupials
4.51,16.3,marsupials
4.58,17.3,marsupials
4.58,25.2,marsupials
5.02,21.8,marsupials
4.88,24.1,marsupials
5.02,28.3,marsupials
5.28,31.8,marsupials
5.44,29.1,marsupials
5.59,31.8,marsupials
5.47,36.8,marsupials
6.16,45.7,marsupials
7.69,100.2,marsupials
