# Each row corresponds to a plot that is either LOCated on the Apostle
#   Islands or the Bayfield Peninsula.  For each plot the dominant
#   species (A,B,C,D,E,F) is recorded.
#
Loc	Spec
AI	B
AI	A
AI	A
AI	D
AI	C
AI	D
AI	B
AI	A
AI	B
AI	E
AI	A
AI	A
AI	A
AI	A
AI	A
AI	F
AI	D
AI	D
AI	B
AI	A
AI	B
AI	E
AI	E
AI	A
AI	E
AI	A
AI	A
AI	B
AI	A
AI	F
AI	C
AI	A
AI	A
AI	E
AI	C
AI	A
AI	B
AI	B
AI	F
AI	B
AI	F
AI	C
AI	B
AI	D
AI	A
AI	E
AI	E
AI	C
AI	D
AI	D
AI	F
AI	E
AI	A
AI	A
AI	B
AI	D
AI	C
AI	E
AI	A
AI	A
AI	E
AI	B
AI	A
AI	C
AI	A
AI	A
AI	D
AI	A
AI	C
AI	E
AI	E
AI	C
AI	B
AI	B
AI	A
AI	A
AI	B
AI	A
AI	C
AI	A
AI	B
AI	A
AI	C
AI	B
AI	A
AI	B
AI	C
AI	A
AI	B
AI	B
AI	A
AI	D
AI	B
AI	C
AI	A
AI	B
AI	C
AI	D
AI	D
AI	D
BP	A
BP	A
BP	A
BP	D
BP	D
BP	A
BP	A
BP	A
BP	B
BP	B
BP	A
BP	B
BP	C
BP	D
BP	A
BP	A
BP	A
BP	B
BP	A
BP	A
BP	B
BP	A
BP	A
BP	A
BP	F
BP	C
BP	A
BP	C
BP	A
BP	A
BP	A
BP	A
BP	A
BP	A
BP	A
BP	E
BP	A
BP	A
BP	A
BP	A
BP	F
BP	E
BP	E
BP	A
BP	A
BP	A
BP	A
BP	A
BP	A
BP	C
BP	C
BP	C
BP	A
BP	A
BP	A
BP	A
BP	A
BP	E
BP	B
BP	E
BP	A
BP	A
BP	A
BP	A
BP	F
BP	B
BP	A
BP	A
BP	A
BP	A
BP	B
BP	B
BP	A
BP	D
BP	A
BP	A
BP	F
BP	C
BP	B
BP	A
BP	A
BP	A
BP	D
BP	D
BP	A
BP	A
BP	A
BP	A
BP	A
BP	B
BP	A
BP	F
BP	C
BP	A
BP	A
BP	A
BP	B
BP	E
BP	D
BP	A
