length	species
21.05	Pipet
21.85	Pipet
22.05	Pipet
22.45	Pipet
22.65	Pipet
23.25	Pipet
23.25	Pipet
23.25	Pipet
23.45	Pipet
23.45	Pipet
23.65	Pipet
23.85	Pipet
24.05	Pipet
24.05	Pipet
24.05	Pipet
20.85	Sparrow
21.65	Sparrow
22.05	Sparrow
22.85	Sparrow
23.05	Sparrow
23.05	Sparrow
23.05	Sparrow
23.05	Sparrow
23.45	Sparrow
23.85	Sparrow
23.85	Sparrow
23.85	Sparrow
24.05	Sparrow
25.05	Sparrow
21.05	Wagtail
21.85	Wagtail
21.85	Wagtail
21.85	Wagtail
22.05	Wagtail
22.45	Wagtail
22.65	Wagtail
23.05	Wagtail
23.05	Wagtail
23.25	Wagtail
23.45	Wagtail
24.05	Wagtail
24.05	Wagtail
24.05	Wagtail
24.85	Wagtail
