# DOBadMontreal.csv					
#
# Dissolved oxygen levels at various times for station 270004 on the Bad/Montreal River watersheds.
#  Date: date of measurement
#  Time: time of measurement
#  DO: dissolved oxygen measurement (mg/L)
#
# Data from http://www.gis.iwr.msu.edu/storet/default.htm
#
Date,Time,Value 				
1/28/1970,8:45:00 AM,12.4
2/24/1970,5:15:00 PM,12.8
3/31/1970,4:30:00 PM,14
5/26/1970,2:30:00 PM,10
6/17/1970,5:10:00 PM,9
7/29/1970,6:15:00 AM,6.6
8/25/1970,6:10:00 PM,8.8
9/16/1970,7:00:00 AM,10.3
9/22/1970,5:30:00 PM,9.8
10/21/1970,4:45:00 PM,13.1
1/26/1971,3:30:00 PM,12.7
2/24/1971,11:30:00 AM,14
3/25/1971,8:45:00 AM,13
4/28/1971,8:45:00 AM,10.8
4/28/1971,11:40:00 AM,11
5/26/1971,9:05:00 AM,9.7
6/16/1971,8:20:00 AM,8.8
7/27/1971,1:10:00 PM,9.4
8/12/1971,8:15:00 AM,7.5
8/25/1971,8:30:00 AM,9
9/23/1971,11:15:00 AM,10.5
10/28/1971,10:00:00 AM,10.3
12/1/1971,11:00:00 AM,13.6
1/5/1972,12:00:00 PM,12.5
5/24/1972,9:00:00 AM,8.4
6/20/1972,10:10:00 AM,8.8
8/30/1972,6:45:00 AM,6.5
9/21/1972,6:20:00 AM,8.6
1/24/1973,8:50:00 AM,13
3/27/1973,2:30:00 PM,13.4
5/2/1973,10:00:00 AM,12
5/29/1973,9:30:00 PM,9
7/12/1973,10:05:00 AM,8.1
7/23/1973,7:25:00 AM,7.7
8/28/1973,8:40:00 AM,7.5
9/25/1973,6:10:00 PM,9.6
11/7/1973,5:50:00 PM,13.2
12/2/1973,7:40:00 AM,13.2
12/18/1973,8:30:00 AM,13.1
1/19/1974,4:12:00 PM,13
2/17/1974,8:30:00 AM,12.5
3/17/1974,9:38:00 AM,13.2
4/13/1974,2:25:00 PM,11.9
4/29/1974,12:45:00 PM,9.2
5/12/1974,10:25:00 AM,10.2
5/30/1974,3:30:00 PM,10
6/15/1974,2:45:00 PM,8.9
6/30/1974,3:30:00 PM,8.1
7/26/1974,10:45:00 AM,7.5
8/23/1974,4:07:00 PM,6.9
9/29/1974,11:30:00 AM,9.6
10/26/1974,1:30:00 PM,12
11/23/1974,2:55:00 PM,12.8
12/16/1974,11:40:00 AM,12.4
1/26/1975,12:40:00 PM,12.2
2/22/1975,3:20:00 PM,12.6
3/16/1975,9:15:00 AM,13.1
4/12/1975,1:55:00 PM,12.6
4/22/1975,10:50:00 AM,12.5
5/6/1975,10:40:00 AM,10
5/18/1975,12:00:00 PM,10
6/6/1975,7:00:00 PM,8.9
6/29/1975,7:50:00 AM,7.4
7/22/1975,6:30:00 PM,8.6
8/20/1975,9:50:00 AM,8.4
9/16/1975,8:15:00 AM,9
10/14/1975,8:35:00 AM,10
11/18/1975,8:30:00 AM,12.1
12/10/1975,8:15:00 AM,13.2
1/13/1976,8:45:00 AM,12.8
2/10/1976,7:35:00 AM,12.8
3/10/1976,7:35:00 AM,13.4
4/20/1976,8:45:00 AM,10.4
5/12/1976,7:00:00 AM,10.1
6/28/1976,10:10:00 AM,7.6
7/20/1976,7:00:00 AM,7.4
8/16/1976,10:15:00 AM,8.5
9/14/1976,7:50:00 AM,8.2
10/12/1976,10:00:00 AM,9.3
11/16/1976,8:30:00 AM,13
12/7/1976,8:30:00 AM,14
1/11/1977,4:40:00 PM,13.1
2/15/1977,9:00:00 AM,13.4
3/1/1977,8:55:00 AM,13.3
4/12/1977,7:05:00 AM,10.5
5/3/1977,8:00:00 AM,9.5
6/7/1977,8:25:00 AM,8.6
7/19/1977,8:25:00 AM,7.6
8/16/1977,9:05:00 AM,8.6
9/13/1977,6:30:00 AM,9
10/18/1977,8:00:00 AM,10.2
11/1/1977,7:25:00 AM,10.4
12/13/1977,7:50:00 AM,13
1/17/1978,8:20:00 AM,12.9
3/21/1978,7:45:00 AM,13.5
4/18/1978,8:40:00 AM,11.9
5/16/1978,6:45:00 AM,10.4
6/13/1978,8:30:00 AM,8.3
7/11/1978,8:40:00 AM,7.3
8/8/1978,9:15:00 AM,7.8
9/12/1978,7:55:00 AM,8.3
10/10/1978,8:05:00 AM,9.8
11/14/1978,8:40:00 AM,12.4
12/12/1978,8:15:00 AM,12.2
1/9/1979,8:35:00 AM,11.7
2/13/1979,7:45:00 AM,13
3/13/1979,7:55:00 AM,13.4
4/10/1979,8:20:00 AM,13.3
5/8/1979,8:00:00 AM,10.9
6/5/1979,6:35:00 AM,8.5
7/10/1979,7:20:00 AM,7.3
8/7/1979,8:00:00 AM,7.5
9/25/1979,7:25:00 AM,9.3
