# DeerHomeRange.txt
#
# data simulated from Campbell, T.A., B.R. Laseter, W.F. Ford, and K.V. Miller.  2004.  Feasibility of
#   localized management to control white tailed deer in forest regeneration areas.  Wildlife Society
#   Bulletin 32:1124-1131.
#
# data found/simulated by Jennifer Courtwright, Biometry, Winter 2008.
#
# hr.area: home range area (km^2)
# season: season factor -- summer, autumn, winter
# age: age factor -- young, adult
#
hr.area	season	age
109.75	summer	young
111.57	summer	young
108.33	summer	young
107.67	summer	young
110.95	summer	young
112.42	summer	young
109.29	summer	young
113.90	summer	young
108.16	summer	young
112.96	summer	young
100.62	summer	young
107.92	summer	young
109.35	summer	young
111.33	summer	young
110.33	summer	young
108.85	summer	young
103.92	summer	young
104.69	summer	young
115.02	autumn	young
123.48	autumn	young
117.62	autumn	young
111.54	autumn	young
113.74	autumn	young
107.26	autumn	young
109.76	autumn	young
113.18	autumn	young
113.46	autumn	young
116.97	autumn	young
114.14	autumn	young
118.08	autumn	young
112.75	autumn	young
125.67	autumn	young
117.71	autumn	young
117.95	autumn	young
107.12	autumn	young
114.54	autumn	young
133.98	winter	young
123.39	winter	young
136.75	winter	young
128.24	winter	young
122.19	winter	young
116.43	winter	young
122.32	winter	young
125.62	winter	young
129.29	winter	young
123.07	winter	young
125.27	winter	young
145.60	winter	young
130.95	winter	young
110.09	winter	young
131.82	winter	young
93.12	summer	adult
93.89	summer	adult
95.87	summer	adult
98.71	summer	adult
98.76	summer	adult
92.49	summer	adult
91.40	summer	adult
93.15	summer	adult
97.06	summer	adult
95.53	summer	adult
95.99	summer	adult
96.59	summer	adult
96.33	summer	adult
94.27	summer	adult
91.65	summer	adult
91.24	summer	adult
95.14	summer	adult
98.80	summer	adult
95.04	autumn	adult
98.50	autumn	adult
93.98	autumn	adult
93.08	autumn	adult
90.17	autumn	adult
91.34	autumn	adult
92.96	autumn	adult
94.86	autumn	adult
89.62	autumn	adult
93.70	autumn	adult
92.32	autumn	adult
93.57	autumn	adult
95.71	autumn	adult
95.04	autumn	adult
88.86	autumn	adult
92.86	autumn	adult
93.28	autumn	adult
89.10	autumn	adult
172.81	winter	adult
189.67	winter	adult
180.61	winter	adult
170.32	winter	adult
175.23	winter	adult
169.26	winter	adult
181.07	winter	adult
153.11	winter	adult
179.80	winter	adult
176.94	winter	adult
171.41	winter	adult
175.58	winter	adult
173.72	winter	adult
172.58	winter	adult
182.90	winter	adult

