country,contr,gdp,medag,mort,scho,tfr
Algeria,52,2352,23.7,39,59,4.1
Bahrain,61,7997,25.4,22,99,2.8
Bangladesh,49,218,18,109,14,3.3
Belarus,50,2013,22.5,18,96,1.3
Belize,47,2111,23.9,43,52,3.9
Benin,16,371,18.3,167,10,6.3
Bolivia,45,244,22.8,96,34,4.2
Botswana,33,2101,25,49,58,4.1
Brazil,77,2107,22.6,44,36,2.3
Bulgaria,76,2332,21.9,19,77,1.1
Burkino Faso,8,290,18.4,169,6,6.7
Burundi,9,162,21.7,176,5,6.5
Cameroon,16,756,19.7,99,22,5.2
C. African Republic,15,387,18.9,173,6,5.1
China,83,564,22.2,47,66,1.8
Colombia,72,1321,22.6,30,72,3
Comoros,21,380,19.5,93,17,5.1
Costa Rica,75,1865,22.2,14,52,2.7
Cote d'Ivoire,11,899,18.9,150,15,6.1
Czech Rep,69,3329,21.5,7,97,1.2
Dem. Rep. Of Congo,8,97,20,207,19,6.6
Dominican Republic,64,1032,20.5,53,47,3.2
Ecuador,57,1257,21.1,39,50,3.3
Egypt,47,1015,21.9,73,68,3.3
El Salvador,53,1011,19,36,34,3.6
Estonia,70,2984,23,14,90,1.2
Ethiopia,4,171,18.1,175,10,7
Ghana,20,437,21.1,107,29,5.4
Guatemala,31,990,21.4,55,23,5.1
Haiti,18,258,23.8,132,22,4.8
Honduras,50,969,21,45,37,4.4
Hungary,73,2372,21.6,11,83,1.3
India,41,465,20,108,38,3.4
Indonesia,55,785,21.1,68,44,2.8
Jamaica,62,1433,19.5,11,70,2.8
Jordan,35,2006,24.7,24,62,4.4
Kazakstan,59,1015,23.1,44,83,1.8
Kenya,33,372,21.1,87,22,4.7
Latvia,48,2153,22.5,20,87,1.1
Lesotho,23,391,20,137,34,4.3
Lithuania,59,2013,22,15,86,1.4
Madagascar,17,209,20.3,158,14,6
Malawi,22,166,17.8,215,4,5.9
Malaysia,48,3387,23.5,11,61,3.2
Mali,7,271,16.4,239,6,6.7
Mauritania,3,513,23.1,183,11,5.5
Mauritius,75,2752,22.3,23,64,2
Mexico,67,1910,20.6,35,59,3
Morocco,50,927,22.3,72,33,3.1
Mozambique,6,199,22.2,208,5,5.6
Namibia,29,1670,22,75,67,5.1
Nepal,29,219,17.9,104,25,4.6
Nicaragua,49,1022,20,57,50,3.9
Niger,4,269,16.3,320,4,7.5
Nigeria,6,315,18.7,187,28,6.2
Pakistan,18,417,21.7,136,17,5.6
Panama,58,2688,21.9,20,65,2.7
Papua New Guinea,26,1060,20.8,112,11,4.8
Peru,64,1112,22.8,56,67,3.5
Philippines,40,652,23.8,41,65,3.7
Poland,75,1926,22.2,11,96,1.5
Romania,57,1457,22.2,26,78,1.3
Rwanda,21,222,22.8,170,9,6
Senegal,13,674,23.7,124,12,5.7
Singapore,74,15467,27,4,60,1.6
Slovakia,74,3432,21.1,11,93,1.4
South Africa,50,2336,26.1,65,92,3.3
South Korea,79,6251,24.7,6,101,1.6
Sri Lanka,66,551,24.4,19,78,2.2
Swaziland,20,947,29,94,51,5.2
Syria,36,1288,21.5,33,40,4.7
Thailand,74,1870,22.7,38,37,2
Togo,12,363,20.3,125,14,5.4
Trinidad & Tobago,53,3990,22.3,17,79,1.7
Tunisia,60,1670,25,33,59,2.8
Turkey,63,1940,23.6,45,45,2.6
Uganda,15,602,19,137,9,6.9
United Arab Emirates,27,15300,23.1,10,81,4.9
Venezuela,49,2685,21.2,25,41,2.9
Zambia,25,300,20,202,21,6.1
Zimbabwe,48,830,20.7,80,39,4
