# PiedFlycatcher2.txt
#
# simulated from results in Table 1 of Sanz, J.J. 2001.  Experimantally reduced male attractiveness increases parental 
#   care in the pied flycatcher Ficedula hypoleuca.  Behavioral Ecology 12:171-176.
#
# csm: clutch size manipulation factor (reduced, control, or enlarged group).
# fh: forehead manipulation factor (unmanipulated, reduced).
# hatchlings: number of hatchlings.
#
csm	fh	hatchlings
reduced	unmanip	2
reduced	unmanip	3
reduced	unmanip	3
reduced	unmanip	2
reduced	unmanip	4
reduced	unmanip	3
reduced	unmanip	4
reduced	unmanip	5
reduced	unmanip	3
reduced	unmanip	3
reduced	unmanip	4
reduced	unmanip	4
reduced	unmanip	4
reduced	unmanip	3
reduced	unmanip	5
reduced	unmanip	3
reduced	unmanip	4
reduced	unmanip	3
reduced	unmanip	4
reduced	unmanip	4
reduced	unmanip	4
reduced	reduced	3
reduced	reduced	3
reduced	reduced	6
reduced	reduced	3
reduced	reduced	5
reduced	reduced	4
reduced	reduced	4
reduced	reduced	4
reduced	reduced	3
reduced	reduced	3
reduced	reduced	3
reduced	reduced	3
reduced	reduced	1
reduced	reduced	3
reduced	reduced	4
reduced	reduced	3
control	unmanip	5
control	unmanip	6
control	unmanip	5
control	unmanip	6
control	unmanip	5
control	unmanip	5
control	unmanip	7
control	unmanip	7
control	unmanip	6
control	unmanip	7
control	unmanip	5
control	unmanip	6
control	unmanip	5
control	unmanip	6
control	unmanip	8
control	unmanip	6
control	unmanip	6
control	unmanip	5
control	unmanip	7
control	unmanip	4
control	unmanip	5
control	unmanip	7
control	unmanip	8
control	unmanip	6
control	unmanip	5
control	unmanip	6
control	reduced	6
control	reduced	7
control	reduced	7
control	reduced	6
control	reduced	7
control	reduced	7
control	reduced	6
control	reduced	7
control	reduced	5
control	reduced	5
control	reduced	4
control	reduced	7
control	reduced	6
enlarged	unmanip	4
enlarged	unmanip	8
enlarged	unmanip	7
enlarged	unmanip	10
enlarged	unmanip	5
enlarged	unmanip	8
enlarged	unmanip	9
enlarged	unmanip	7
enlarged	unmanip	6
enlarged	unmanip	8
enlarged	unmanip	8
enlarged	unmanip	7
enlarged	unmanip	7
enlarged	unmanip	7
enlarged	unmanip	8
enlarged	unmanip	5
enlarged	unmanip	7
enlarged	unmanip	7
enlarged	unmanip	7
enlarged	unmanip	8
enlarged	unmanip	6
enlarged	unmanip	7
enlarged	reduced	7
enlarged	reduced	6
enlarged	reduced	7
enlarged	reduced	6
enlarged	reduced	9
enlarged	reduced	7
enlarged	reduced	5
enlarged	reduced	8
enlarged	reduced	8
enlarged	reduced	6
enlarged	reduced	9
enlarged	reduced	6
enlarged	reduced	5
enlarged	reduced	5
enlarged	reduced	8
enlarged	reduced	9
enlarged	reduced	7
