# Pintail.txt
#
# year: year of observation
# dist: distance nest is from water (km)
#
year	dist
1983	0.095
1983	0.06
1983	0.042
1983	0.098
1983	0.076
1983	0.126
1983	0.073
1983	0.082
1983	0.075
1983	0.12
1983	0.15
1983	0.085
1983	0.349
1983	0.329
1983	0.304
1983	0.264
1983	0.297
1983	0.241
1983	0.337
1983	0.363
1983	0.481
1983	0.487
1983	0.483
1983	0.478
1983	0.478
1983	0.454
1983	0.556
1983	0.621
1983	0.595
1983	0.707
1983	0.75
1983	0.71
1983	0.701
1983	0.771
1983	0.728
1983	0.922
1983	0.886
1983	0.882
1983	0.931
1983	0.855
1983	0.844
1983	0.901
1983	0.912
1983	1.085
1983	1.054
1983	1.131
1983	1.121
1983	1.12
1983	1.055
1983	1.113
1983	1.11
1983	1.008
1983	1.117
1983	1.141
1983	1.114
1983	1.102
1983	1.088
1983	1.357
1983	1.27
1983	1.293
1983	1.271
1983	1.351
1983	1.307
1983	1.505
1983	1.491
1983	1.459
1983	1.445
1983	1.558
1983	1.494
1983	1.466
1983	1.427
1984	0.291
1984	0.276
1984	0.284
1984	0.313
1984	0.184
1984	0.179
1984	0.226
1984	0.285
1984	0.518
1984	0.76
1984	0.756
1984	1.173
1984	1.332
1984	1.28
1984	1.305
1984	1.209
1984	1.316
1984	1.659
1984	1.661
1984	1.681
1984	1.825
1984	2.31
1984	2.22
1984	2.79
1984	2.968
