# StomachVolume.txt
#
# Extracted with extract.data() from Figure 1bc in Pirhonen, J. and J. Koskela.  2005.
#   Indirect estimation of stomach volume of rainbow trout Oncorhynchus mykiss (Walbaum).
#   Aquaculture Research, 36:851-856.
#
# bodymass: fish body mass (g)
# stvol: fish stomach volume (ml)
# stcont: fish stomach content dry mass weight (g)
# treat: days of starvation treatment factor -- 1d, 4d, 8d, or 16d
#
bodymass	stvol	stcont	treat
907.6	20.71	3.36	1d
820	22.34	3.69	1d
936.8	24.77	6.2	1d
817.1	28.02	6.96	1d
785	32.49	8	1d
895.9	35.33	12.69	1d
1316.1	37.77	5.92	1d
846.3	39.39	14.11	1d
1079	40.4	14.16	1d
1211.1	43.05	8.24	1d
1211.1	43.45	9.04	1d
1047.7	44.67	12.31	1d
849.2	45.48	10.84	1d
1228.6	45.48	7.95	1d
1176.1	58.07	12.64	1d
852.1	69.04	24.72	1d
569.1	15.03	3.37	4d
858	30.46	9.01	4d
586.6	31.27	11.48	4d
709.1	33.3	12.57	4d
773.3	35.33	13.71	4d
767.5	37.77	12.43	4d
785	38.58	13.57	4d
732.5	41.02	14.94	4d
735.4	49.14	19.92	4d
752.9	50.76	17.55	4d
898.8	51.17	19.73	4d
884.2	57.26	20.73	4d
971.8	58.48	24.67	4d
831.7	60.51	23.48	4d
957.2	64.16	21.06	4d
486.4	17.37	3.5	8d
687.4	17.78	6.24	8d
594.2	19.8	3.83	8d
579.6	21.82	7.61	8d
760.2	24.65	5.39	8d
672.8	26.26	8.46	8d
748.5	31.52	14.08	8d
701.9	34.34	11.48	8d
620.4	37.98	14.32	8d
803.9	41.21	8.32	8d
1188.3	41.62	13.37	8d
687.4	42.83	12.67	8d
795.1	43.64	19.8	8d
710.7	46.06	16.59	8d
806.8	52.93	20.32	8d
565	17.37	5.54	16d
696.1	21.01	6.11	16d
713.6	23.84	5.11	16d
553.4	25.05	9.52	16d
742.7	25.45	4.4	16d
894.2	26.67	6.58	16d
690.3	28.69	10.56	16d
905.8	29.9	9.38	16d
809.7	37.58	13.4	16d
1048.5	37.98	15.29	16d
1068.9	40.81	21.02	16d
961.2	42.02	15.67	16d
958.3	45.66	15.63	16d
847.6	47.27	14.35	16d
1054.4	58.99	21.21	16d
