# TexasWater.txt
#
# Data from www.stat.psu.edu/~jglenn/stat505/18_cluster/18_cluster_hwk.html
#
# Ground water samples were collected from n = 127 sites in Texas.
#   The following variables were measured:
#
# site: a site identifier
# coord1: a site coordinate
# coord2: a site coordinate
# uranium:
# arsenic:
# boron:
# barium:
# moybdenum:
# selenium:
# vanadium:
# sulfate: SO4
# ttl.alk:
# bicarbonate:
# conductivity:
# pH:
#
site	coord1	coord2	uranium	arsenic	boron	barium	molybdenum	selenium	vanadium	sulfate	ttl.alk	bicarb	cond	pH
2201	33.21	101.445	7.99	17.6	300	150	4	0.4	100	35	278	157	640	7.6
2203	33.213	101.494	13.74	10.4	660	99	7	0.3	66	90	299	175	980	7.7
2205	33.148	100.537	4.85	13.5	883	13	5	0.2	26	2575	42	22	6200	7.4
2210	33.164	100.608	3.1	4	625	750	4	0.2	25	30	175	101	540	7.65
2211	33.208	101.574	78	19.9	3125	100	150	0.2	500	1100	324	174	2700	7.1
2213	33.164	101.69	9.74	16	528	40	7	1.5	66	200	280	175	980	8.2
2215	33.168	101.747	6.9	12	600	200	40	0.4	100	435	300	166	1700	7.4
2217	33.17	101.506	21.73	12.2	5000	50	150	0.4	500	795	340	188	2200	7.5
2219	33.171	101.571	26.79	11.4	2000	40	80	0.2	150	1080	278	148	2600	7.2
2221	33.169	101.616	56.2	12.7	800	100	10	0.2	100	450	300	166	1700	7.35
2224	33.165	101.867	25.3	3	2000	50	25	0.2	50	1950	200	109	4500	7.2
2226	33.166	102.051	4.42	10.3	300	200	4	0.4	10	40	316	182	670	7.6
2228	33.169	101.986	29.75	21.4	564	49	7	0.2	111	975	280	170	2000	7.4
2230	33.253	101.501	22.32	19.4	1155	66	40	0.2	396	490	304	171	1300	7.4
2232	33.305	101.502	9.48	9	300	50	5	0.5	100	190	240	138	1700	7.3
2235	33.31	101.553	13.46	6.5	990	132	26	1.9	132	95	241	143	1400	7.8
2237	33.314	101.627	29.56	10.1	1500	200	60	0.2	200	350	300	151	1800	7.2
2239	33.312	101.688	13.39	8.7	660	40	13	0.2	99	270	308	167	1600	7.3
2241	33.308	101.757	20.96	9.7	2000	60	20	0.2	150	440	292	162	1400	7.4
2243	33.314	101.809	26.67	6.4	990	99	7	0.2	66	1220	292	153	2700	7.2
2245	33.314	101.926	52.47	9.7	2000	50	75	0.4	100	250	454	256	1500	7.6
2248	33.311	101.869	6.49	63	1500	150	200	2.2	600	100	332	198	1000	7.75
2250	33.312	101.978	15.78	15.5	1500	75	20	7.9	200	115	400	217	1100	7.3
2253	33.271	101.805	21.19	10.7	2000	100	200	0.7	200	435	312	178	1700	7.3
2255	33.167	101.45	13.16	18.2	559	33	9	0.5	72	115	300	179	1100	7.7
2256	33.152	101.798	12.33	7.5	744	372	12	5.1	124	325	199	108	1600	7.2
2258	33.068	101.859	5.73	6.1	500	100	5	0.4	75	60	310	176	800	7.5
2260	33.123	101.877	11.07	6.7	1000	150	10	0.2	200	315	262	143	1500	7.3
2262	33.171	101.932	16.08	6.4	660	13	7	0.2	66	720	282	162	2600	7.5
2264	33.168	101.921	0.2	0.8	4980	4	33	0.2	4	1340	314	172	5600	7.7
2267	33.282	101.912	0.2	73.5	2000	150	60	0.2	500	85	320	190	1100	8
2270	33.263	102.001	8.62	12	1250	75	50	2.8	250	155	345	190	1200	7.5
2272	33.123	101.915	11.43	28	1155	53	66	1.1	264	780	446	237	2000	7
2273	33.118	102.002	17.96	12.6	1750	60	40	0.6	200	1040	266	139	2400	7.1
2275	33.215	101.98	15.52	9.4	1500	50	100	0.8	200	120	420	219	1200	7.2
2276	33.228	101.805	21.49	6.2	837	36	7	0.8	45	1220	292	142	3200	7.05
2278	33.281	101.854	9.46	15.3	1155	66	66	6.4	132	440	328	190	1800	7.5
2281	33.217	100.588	2.05	7.3	15000	4	4	0.2	4	3525	36	21	6700	7.6
2282	33.211	101.738	10.36	10.7	1750	20	20	6	200	1500	260	146	2200	7.3
2283	33.226	101.677	5.33	15.9	750	100	10	0.6	200	310	337	193	1400	7.2
2285	33.271	101.663	11.16	5.8	575	40	4	1.7	34	780	220	122	1800	7.3
2287	33.272	101.622	0.87	1	7500	50	250	0.6	4	525	350	215	2200	8.1
2289	33.258	101.559	7.8	8.6	660	132	13	1.9	132	60	270	142	1100	7.3
2321	33.443	101.339	6.69	1.3	281	112	4	12.1	5	210	195	106	1800	7.2
2323	33.407	101.288	21.86	13.7	3000	200	80	0.5	200	60	730	438	1500	8.1
2325	33.416	101.261	20.28	2.8	1000	60	20	0.2	40	780	300	168	3500	7.4
2330	33.443	101.203	13.68	2.4	642	23	43	0.3	4	140	412	230	1200	7.6
