# Wastewater Treatment plant effluent BOD data		
# BOD in lbs/day (averaged for the month)		
# from http://members.aol.com/erikschiff/effluent_data.htm		
#		
Mon	Year	BOD
January	1991	3844
February	1991	2666
March	1991	3334
April	1991	3437
May	1991	2424
June	1991	1766
July	1991	1090
August	1991	2254
September	1991	2471
October	1991	3398
November	1991	2470
December	1991	3076
January	1992	2767
February	1992	2164
March	1992	2148
April	1992	1399
May	1992	1404
June	1992	1419
July	1992	1615
August	1992	1313
September	1992	1655
October	1992	2488
November	1992	3186
December	1992	4215
January	1993	3121
February	1993	2161
March	1993	6023
April	1993	4891
May	1993	1370
June	1993	910
July	1993	1034
August	1993	859
September	1993	769
October	1993	2488
November	1993	1875
December	1993	5805
January	1994	2488
February	1994	1620
March	1994	5022
April	1994	1653
May	1994	1767
June	1994	944
July	1994	677
August	1994	630
September	1994	1061
October	1994	984
November	1994	2459
December	1994	2314
January	1995	1609
February	1995	1839
March	1995	1521
April	1995	1936
May	1995	2043
June	1995	2145
July	1995	1162
August	1995	1464
September	1995	1115
October	1995	1323
November	1995	3151
December	1995	2010
January	1996	5474
February	1996	3265
March	1996	3625
April	1996	4412
May	1996	3092
June	1996	3378
July	1996	3891
August	1996	3579
September	1996	3195
October	1996	3527
November	1996	1779
December	1996	1827
January	1997	1978
February	1997	2579
March	1997	3137
April	1997	3621
May	1997	1932
June	1997	1597
July	1997	1499
August	1997	2176
September	1997	2224
October	1997	2333
November	1997	3354
December	1997	2684
January	1998	5780
February	1998	4573
March	1998	4006
April	1998	3129
May	1998	3848
June	1998	5781
July	1998	3138
August	1998	2989
September	1998	2280
October	1998	3593
November	1998	2225
December	1998	1960
January	1999	5308
February	1999	3409
March	1999	2797
April	1999	2328
May	1999	3370
June	1999	1713
July	1999	2181
August	1999	2093
September	1999	4095
October	1999	2328
November	1999	1488
December	1999	1415
January	2000	1341
February	2000	1390
March	2000	1985
April	2000	2744
May	2000	1543
June	2000	2313
July	2000	2045
August	2000	1425
September	2000	1208
October	2000	1272
		
		
