river	year	month	cfs
Bad	1915	January	115
Bad	1916	January	230
Bad	1917	January	95
Bad	1918	January	110
Bad	1919	January	140
Bad	1920	January	170
Bad	1921	January	134
Bad	1922	January	105
Bad	1949	January	96.9
Bad	1950	January	122
Bad	1951	January	136
Bad	1952	January	224
Bad	1953	January	129
Bad	1954	January	159
Bad	1955	January	237
Bad	1956	January	296
Bad	1957	January	155
Bad	1958	January	181
Bad	1959	January	132
Bad	1960	January	327
Bad	1961	January	158
Bad	1962	January	128
Bad	1963	January	105
Bad	1964	January	103
Bad	1965	January	158
Bad	1966	January	370
Bad	1967	January	217
Bad	1968	January	99.9
Bad	1969	January	381
Bad	1970	January	181
Bad	1971	January	220
Bad	1972	January	181
Bad	1973	January	294
Bad	1974	January	213
Bad	1975	January	253
Bad	1976	January	215
Bad	1977	January	97.9
Bad	1978	January	199
Bad	1979	January	109
Bad	1980	January	165
Bad	1981	January	133
Bad	1982	January	162
Bad	1983	January	318
Bad	1984	January	261
Bad	1985	January	199
Bad	1986	January	301
Bad	1987	January	193
Bad	1988	January	207
Bad	1915	February	136
Bad	1916	February	220
Bad	1917	February	90
Bad	1918	February	100
Bad	1919	February	120
Bad	1920	February	160
Bad	1921	February	145
Bad	1922	February	183
Bad	1949	February	86.8
Bad	1950	February	132
Bad	1951	February	134
Bad	1952	February	185
Bad	1953	February	126
Bad	1954	February	223
Bad	1955	February	190
Bad	1956	February	209
Bad	1957	February	135
Bad	1958	February	163
Bad	1959	February	102
Bad	1960	February	211
Bad	1961	February	170
Bad	1962	February	116
Bad	1963	February	103
Bad	1964	February	69.3
Bad	1965	February	122
Bad	1966	February	365
Bad	1967	February	197
Bad	1968	February	114
Bad	1969	February	334
Bad	1970	February	157
Bad	1971	February	239
Bad	1972	February	154
Bad	1973	February	275
Bad	1974	February	191
Bad	1975	February	224
Bad	1976	February	313
Bad	1977	February	83.7
Bad	1978	February	125
Bad	1979	February	140
Bad	1980	February	152
Bad	1981	February	344
Bad	1982	February	166
Bad	1983	February	320
Bad	1984	February	713
Bad	1985	February	168
Bad	1986	February	240
Bad	1987	February	190
Bad	1988	February	172
Bad	1915	March	272
Bad	1916	March	250
Bad	1917	March	113
Bad	1918	March	668
Bad	1919	March	1154
Bad	1920	March	1957
Bad	1921	March	1033
Bad	1922	March	375
Bad	1949	March	199
Bad	1950	March	141
Bad	1951	March	499
Bad	1952	March	219
Bad	1953	March	1217
Bad	1954	March	318
Bad	1955	March	279
Bad	1956	March	193
Bad	1957	March	429
Bad	1958	March	310
Bad	1959	March	274
Bad	1960	March	316
Bad	1961	March	901
Bad	1962	March	199
Bad	1963	March	545
Bad	1964	March	192
Bad	1965	March	180
Bad	1966	March	1762
Bad	1967	March	289
Bad	1968	March	794
Bad	1969	March	357
Bad	1970	March	288
Bad	1971	March	689
Bad	1972	March	289
Bad	1973	March	2494
Bad	1974	March	389
Bad	1975	March	328
Bad	1976	March	1831
Bad	1977	March	655
Bad	1978	March	385
Bad	1979	March	1207
Bad	1980	March	366
Bad	1981	March	1147
Bad	1982	March	469
Bad	1983	March	1400
Bad	1984	March	348
Bad	1985	March	764
Bad	1986	March	929
Bad	1987	March	779
Bad	1988	March	697
Bad	1915	April	1576
Bad	1916	April	4161
Bad	1917	April	1148
Bad	1918	April	930
Bad	1919	April	2033
Bad	1920	April	1515
Bad	1921	April	1920
Bad	1922	April	2050
Bad	1949	April	993
Bad	1950	April	2249
Bad	1951	April	2936
Bad	1952	April	3257
Bad	1953	April	2438
Bad	1954	April	2906
Bad	1955	April	2939
Bad	1956	April	2253
Bad	1957	April	1775
Bad	1958	April	1324
Bad	1959	April	1317
Bad	1960	April	4187
Bad	1961	April	1756
Bad	1962	April	1350
Bad	1963	April	1413
Bad	1964	April	2616
Bad	1965	April	2958
Bad	1966	April	2063
Bad	1967	April	2846
Bad	1968	April	1663
Bad	1969	April	3332
Bad	1970	April	1438
Bad	1971	April	3947
Bad	1972	April	2549
Bad	1973	April	1303
Bad	1974	April	2111
Bad	1975	April	2481
Bad	1976	April	3230
Bad	1977	April	962
Bad	1978	April	2520
Bad	1979	April	3340
Bad	1980	April	2077
Bad	1981	April	1926
Bad	1982	April	3087
Bad	1983	April	2536
Bad	1984	April	2453
Bad	1985	April	2562
Bad	1986	April	2583
Bad	1987	April	513
Bad	1988	April	2222
Bad	1915	May	1520
Bad	1916	May	1007
Bad	1917	May	1085
Bad	1918	May	1506
Bad	1919	May	483
Bad	1920	May	653
Bad	1921	May	630
Bad	1922	May	853
Bad	1949	May	899
Bad	1950	May	2752
Bad	1951	May	2536
Bad	1952	May	871
Bad	1953	May	1973
Bad	1954	May	2475
Bad	1955	May	646
Bad	1956	May	1024
Bad	1957	May	585
Bad	1958	May	268
Bad	1959	May	1274
