date,sex,weight,chest,neck,length,tail,tlength,set
9/2/2004,Female,0.5,16,10,30,14,44,Model
6/18/1993,Female,1.4,26,15,53,15,68,Model
6/18/1993,Female,1.7,25,15,54,14,68,Validation
9/29/2008,Female,4.1,29,18,63,37,100,Model
11/9/1992,Female,11.8,43,24,141,47,187,Validation
11/11/2002,Female,14.5,52,26,92,52,144,Model
10/24/2008,Female,15.4,48,26,88,58,145,Model
4/28/2004,Female,15.4,46,27,91,56,147,Model
5/5/1992,Female,17.7,53,27,156,47,203,Validation
2/4/1991,Female,19.0,53,28,163,58,221,Model
12/23/2010,Female,20.4,53,28,102,66,168,Model
6/30/2003,Female,21.8,56,30,103,63,166,Validation
2/28/1990,Female,27.7,63,34,180,65,245,Model
5/7/2001,Female,28.6,52,29,106,62,168,Model
5/10/1991,Female,28.6,61,34,183,72,255,Validation
5/22/2008,Female,29.0,56,34,108,63,171,Model
4/9/2009,Female,29.0,60,33,113,72,185,Validation
1/5/1993,Female,30.8,63,32,192,64,256,Model
2/3/1994,Female,30.8,59,33,193,64,257,Model
1/23/1982,Female,30.8,62,36,194,66,260,Validation
12/2/2005,Female,31.7,66,34,117,65,182,Model
11/15/1986,Female,31.7,56,32,180,68,248,Model
2/11/1991,Female,31.7,68,33,186,76,261,Model
1/24/1994,Female,31.7,63,33,192,68,260,Model
2/13/2004,Female,31.7,61,34,183,66,249,Validation
11/9/1987,Female,31.7,65,33,199,68,267,Validation
7/28/2008,Female,32.7,62,35,117,65,182,Model
1/13/1986,Female,32.7,67,32,191,68,259,Model
2/25/1992,Female,32.7,68,39,125,71,196,Validation
1/25/2006,Female,34.5,62,36,114,74,188,Model
11/20/2008,Female,34.5,64,33,119,82,201,Validation
10/25/2004,Female,34.9,66,33,117,73,190,Model
10/30/2011,Female,35.4,65,35,115,69,184,Model
1/26/1985,Female,35.8,69,36,194,71,265,Validation
10/1/2010,Female,36.3,66,34,116,72,188,Model
10/20/1984,Female,36.3,69,42,180,69,249,Model
1/20/2009,Female,37.2,67,36,112,73,185,Model
5/8/2007,Female,37.2,68,40,117,66,183,Validation
12/25/2003,Female,37.6,64,35,131,70,201,Model
9/19/2011,Female,37.7,63,35,137,77,214,Model
1/12/1989,Female,38.5,69,38,197,67,264,Model
1/7/1988,Female,41.3,74,35,194,59,253,Model
1/13/2005,Female,41.7,66,34,187,77,264,Validation
1/7/2012,Female,41.8,68,40,116,75,191,Model
2/23/1982,Female,44.7,68,43,201,67,268,Model
1/22/1987,Female,45.4,73,36,197,57,254,Model
2/23/2012,Male,0.5,15,10,33,15,48,Model
6/18/1993,Male,1.9,26,16,52,15,67,Model
8/2/2004,Male,9.5,41,23,82,52,134,Model
1/15/1986,Male,15.4,50,29,145,50,194,Model
5/8/1991,Male,16.8,52,27,152,43,195,Model
3/6/1996,Male,17.2,53,30,145,51,196,Validation
1/4/1995,Male,17.7,51,26,155,53,208,Model
2/8/1995,Male,18.6,49,26,99,49,148,Model
4/10/2002,Male,19.5,50,29,103,60,163,Model
2/28/1994,Male,20.0,55,31,147,52,199,Validation
1/6/1989,Male,22.4,59,31,176,63,239,Model
1/25/2006,Male,23.6,54,31,109,60,169,Model
5/1/1990,Male,24.5,56,30,174,67,241,Validation
5/23/2010,Male,24.9,54,31,108,67,175,Model
2/10/1993,Male,27.2,59,32,180,54,234,Model
3/4/1992,Male,28.1,60,33,185,62,247,Model
4/7/2005,Male,28.6,65,33,104,61,165,Validation
2/10/1993,Male,29.9,63,33,182,61,243,Model
6/18/1990,Male,31.7,60,33,159,61,220,Model
9/12/2007,Male,32.2,62,34,125,67,192,Validation
1/13/1992,Male,34.9,65,34,190,74,264,Model
6/14/2007,Male,37.6,67,36,113,65,178,Model
6/24/2010,Male,37.6,64,35,118,74,192,Validation
5/4/2008,Male,38.1,68,39,114,63,177,Model
6/27/2007,Male,39.0,71,45,125,80,205,Model
1/4/1993,Male,39.0,70,35,208,66,274,Validation
12/13/2010,Male,41.3,66,39,116,73,189,Model
3/5/1989,Male,41.7,69,37,190,61,251,Validation
9/18/2005,Male,42.6,71,39,118,72,190,Model
1/7/2011,Male,45.0,64,38,132,71,203,Model
1/17/2009,Male,45.4,70,38,123,73,196,Model
8/9/1993,Male,45.4,71,41,217,68,285,Model
4/3/2007,Male,45.4,71,40,135,72,206,Validation
2/16/2004,Male,45.4,68,38,197,66,263,Validation
2/12/1990,Male,45.8,76,38,208,72,280,Model
3/9/2008,Male,47.6,74,42,126,74,200,Model
2/20/1981,Male,49.0,80,43,206,68,274,Model
3/26/1992,Male,49.0,80,44,197,75,272,Validation
1/11/1991,Male,49.9,75,43,204,65,269,Model
