commitment,evacuate
6.1,yes
6.4,yes
7.6,yes
11.6,yes
8.2,yes
6,yes
13.3,yes
9.2,yes
10.6,yes
14,yes
6.7,yes
6.7,yes
7.3,yes
10.2,yes
3.9,yes
5.6,yes
6.7,yes
13,yes
4.2,yes
6.8,yes
10.2,yes
2.5,yes
7.9,yes
9.6,yes
8,yes
4,yes
7.2,yes
6.2,yes
4.1,yes
2.6,yes
13.1,yes
8.1,yes
4.1,yes
12.1,yes
12.1,yes
9.7,yes
8.9,yes
11.1,yes
10.9,yes
6.4,yes
13.9,yes
11.4,yes
12,yes
5.6,yes
11.8,yes
8.2,yes
4.8,yes
4.8,yes
8.9,yes
8.3,yes
3.6,yes
7.2,yes
-0.6,yes
1.8,yes
4,yes
5.3,yes
8.6,yes
6.5,yes
11.4,yes
5.1,yes
8.4,yes
6.5,yes
5,yes
8.5,yes
6.3,yes
8,yes
5,yes
8.9,yes
4,yes
6.5,yes
1.2,yes
8.6,yes
10.1,yes
8.9,yes
3.3,yes
9.7,yes
10.3,yes
8.3,yes
7.1,yes
2,yes
10.3,yes
12.8,yes
2.6,yes
4.3,yes
5.6,yes
7.3,yes
13.5,yes
-0.9,yes
10.6,yes
7.6,yes
7.7,yes
3.5,yes
12.8,yes
4.2,yes
11.1,yes
7,yes
8.7,yes
7.4,yes
10.3,yes
9.3,yes
4.3,yes
8.5,yes
5.5,yes
4.8,yes
14.8,yes
4.2,yes
6.7,yes
10.1,yes
13.4,yes
9.9,yes
12.6,yes
1.2,yes
12.3,yes
3.8,yes
13.1,yes
9.8,yes
9.9,no
8.3,no
8.8,no
8,no
5.8,no
6,no
10.2,no
10.2,no
7,no
7.8,no
5.1,no
6.6,no
1.9,no
11.1,no
6.2,no
5.4,no
4.7,no
2.8,no
12.1,no
8.9,no
2.7,no
5,no
8.2,no
11.5,no
7.8,no
4.9,no
9.4,no
8.8,no
4.1,no
12.4,no
1.6,no
4.4,no
2.1,no
5.4,no
4.5,no
6.9,no
3,no
8.8,no
6.5,no
4.8,no
8.7,no
4.6,no
5.4,no
8.5,no
10.2,no
7.5,no
12.8,no
4.1,no
7.7,no
5.3,no
5.5,no
6.6,no
1.8,no
11.7,no
6.6,no
7.5,no
7.3,no
1.4,no
3.9,no
0.4,no
3.7,no
9.6,no
12.1,no
10.8,no
3.8,no
5.2,no
14.4,no
12.9,no
7.4,no
6.6,no
2.9,no
5.5,no
6.1,no
0.7,no
6.9,no
4.5,no
4.6,no
8,no
10,no
4.7,no
6.3,no
6.7,no
9.3,no
5.6,no
7.6,no
2.8,no
8.2,no
5.2,no
4.4,no
5.7,no
6.9,no
2.5,no
7.7,no
5.1,no
6.5,no
8.7,no
6.8,no
1.9,no
7.4,no
3.6,no
6.1,no
2.3,no
13.5,no
7.7,no
2.4,no
0.8,no
5.8,no
10.4,no
8.8,no
6.7,no
7,no
10.6,no
4.8,no
10.5,no
6.6,no
7.9,no
8.3,no
-1.2,no
11.5,no
10.7,no
8.7,no
4.3,no
2.2,no
10.7,no
6.1,no
