"Species","Origin","Age","DBH","Ht","Pst","Pbr","Pf","Pabo","Country","GAge"
"Picea abies (L.) Karst.","Natural",77,31.9,32.4,596,30.9,16,642.9,"SWZ","50-100"
"Picea abies (L.) Karst.","Natural",100,34,31,564,27.4,16.4,607.8,"SWZ","50-100"
"Picea abies (L.) Karst.","Natural",102,31.5,26.2,494,46.5,18.8,559.3,"SWZ",">100"
"Picea abies (L.) Karst.","Natural",157,43.4,34.9,1133,86.3,32.3,1251.6,"SWZ",">100"
"Picea abies (L.) Karst.","Natural",53,19.4,21.4,163,9.69,7.7,180.4,"SWZ","50-100"
"Picea abies (L.) Karst.","Natural",62,18.5,19,127,9.76,9.1,145.9,"SWZ","50-100"
"Picea abies (L.) Karst.","Natural",63,21.4,15.6,111,15,12.7,138.7,"SWZ","50-100"
"Picea abies (L.) Karst.","Natural",65,26.8,27,352,23,16.7,391.7,"SWZ","50-100"
"Picea abies (L.) Karst.","Natural",45,15.4,18.6,110,9.74,6.5,126.2,"SWZ","<50"
"Picea abies (L.) Karst.","Natural",46,17.3,18.4,119,11.3,11.2,141.5,"SWZ","<50"
"Picea abies (L.) Karst.","Natural",50,20.5,13.4,100,16.1,12,128.1,"SWZ","50-100"
"Picea abies (L.) Karst.","Natural",31,9.3,10.6,25.4,5.39,2.99,33.8,"SWZ","<50"
"Picea abies (L.) Karst.","Natural",32,11.2,13.3,38.4,5.5,3.46,47.4,"SWZ","<50"
"Picea abies (L.) Karst.","Natural",34,10.8,10.3,35.7,5.51,5.56,46.8,"SWZ","<50"
"Picea abies (L.) Karst.","Natural",35,16.2,15.2,75.7,10.7,11.9,98.3,"SWZ","<50"
"Picea abies (L.) Karst.","Natural",30,8.3,10.6,16.7,5.92,2.63,25.3,"SWZ","<50"
"Picea abies (L.) Karst.","Natural",30,7.2,9.8,7.2,6.82,2.02,16,"SWZ","<50"
"Picea abies (L.) Karst.","Natural",30,9.4,11.4,15.8,5.02,3.25,24.1,"SWZ","<50"
"Picea abies (L.) Karst.","Natural",30,12.6,11.9,32.8,6.74,7.3,46.8,"SWZ","<50"
"Picea abies (L.) Karst.","Natural",31,9.3,10.6,16,5.39,2.99,24.4,"SWZ","<50"
"Picea abies (L.) Karst.","Natural",31,10.8,12.8,25.7,5.98,3.57,35.3,"SWZ","<50"
"Picea abies (L.) Karst.","Natural",31,15.2,14.4,55.9,11.58,10.6,78.1,"SWZ","<50"
"Picea abies (L.) Karst.","Natural",31,16.8,15,64.8,13.83,12.47,91.1,"SWZ","<50"
"Picea abies (L.) Karst.","Natural",34,9,9.1,13,4.7,2.31,20,"SWZ","<50"
"Picea abies (L.) Karst.","Natural",34,10.8,10.3,20.8,5.51,5.56,31.9,"SWZ","<50"
"Picea abies (L.) Karst.","Natural",34,13,12.9,41.85,7.25,8.78,57.9,"SWZ","<50"
"Picea abies (L.) Karst.","Natural",35,8.7,11.6,17.5,5.99,1.78,25.3,"SWZ","<50"
"Picea abies (L.) Karst.","Natural",35,12.6,13,32,7.04,6.45,45.5,"SWZ","<50"
"Picea abies (L.) Karst.","Natural",35,16.8,16,62.5,6.54,7.13,76.2,"SWZ","<50"
"Picea abies (L.) Karst.","Natural",35,19.8,17.4,114.8,14.37,17.29,146.5,"SWZ","<50"
"Picea abies (L.) Karst.","Natural",35,25.1,20,187,21.38,22.93,231.3,"SWZ","<50"
"Picea abies (L.) Karst.","Natural",39,6.6,7,5.33,4.86,1.45,11.64,"SWZ","<50"
"Picea abies (L.) Karst.","Natural",39,7.4,7.7,7.36,5.84,1.81,15.01,"SWZ","<50"
"Picea abies (L.) Karst.","Natural",39,7.9,8,7.79,4.75,1.87,14.41,"SWZ","<50"
