"city","method","method2"
"Des Moines","curbside","recycle"
"Des Moines","curbside","recycle"
"Des Moines","curbside","recycle"
"Des Moines","curbside","recycle"
"Des Moines","curbside","recycle"
"Des Moines","buy-back center","recycle"
"Des Moines","buy-back center","recycle"
"Des Moines","buy-back center","recycle"
"Des Moines","buy-back center","recycle"
"Des Moines","drop-off facility","recycle"
"Des Moines","drop-off facility","recycle"
"Des Moines","drop-off facility","recycle"
"Des Moines","drop-off facility","recycle"
"Des Moines","drop-off facility","recycle"
"Des Moines","drop-off facility","recycle"
"Des Moines","drop-off facility","recycle"
"Des Moines","drop-off facility","recycle"
"Des Moines","drop-off facility","recycle"
"Des Moines","drop-off facility","recycle"
"Des Moines","drop-off facility","recycle"
"Des Moines","drop-off facility","recycle"
"Des Moines","drop-off facility","recycle"
"Des Moines","drop-off facility","recycle"
"Des Moines","drop-off facility","recycle"
"Des Moines","drop-off facility","recycle"
"Des Moines","drop-off facility","recycle"
"Des Moines","throw-away","throw-away"
"Des Moines","throw-away","throw-away"
"Des Moines","throw-away","throw-away"
"Des Moines","throw-away","throw-away"
"Des Moines","throw-away","throw-away"
"Des Moines","throw-away","throw-away"
"Des Moines","throw-away","throw-away"
"Des Moines","throw-away","throw-away"
"Des Moines","throw-away","throw-away"
"Des Moines","throw-away","throw-away"
"Des Moines","throw-away","throw-away"
"Des Moines","throw-away","throw-away"
"Des Moines","throw-away","throw-away"
"Des Moines","throw-away","throw-away"
"Des Moines","throw-away","throw-away"
"Des Moines","throw-away","throw-away"
"Des Moines","throw-away","throw-away"
"Des Moines","throw-away","throw-away"
"Des Moines","throw-away","throw-away"
"Des Moines","throw-away","throw-away"
"Des Moines","throw-away","throw-away"
"Des Moines","throw-away","throw-away"
"Des Moines","throw-away","throw-away"
"Des Moines","throw-away","throw-away"
"Des Moines","throw-away","throw-away"
"Des Moines","throw-away","throw-away"
"Des Moines","throw-away","throw-away"
"Des Moines","throw-away","throw-away"
"Des Moines","throw-away","throw-away"
"Des Moines","throw-away","throw-away"
"Des Moines","throw-away","throw-away"
"Des Moines","throw-away","throw-away"
"Des Moines","throw-away","throw-away"
"Des Moines","throw-away","throw-away"
"Des Moines","throw-away","throw-away"
