len,sex
63.2,m
62.9,m
59.6,m
62.9,m
62.4,m
61.7,m
59.9,m
60.7,m
62.1,m
61.9,m
61.9,m
59.1,m
66.1,m
60.6,m
64.6,m
63.7,m
61.3,m
64.5,m
63.8,m
61.6,m
63.3,m
64.5,m
62.4,m
63.6,m
60,m
59.6,m
61.8,m
64.4,m
61.8,m
64.6,m
63,m
64.4,m
57.5,m
61.4,m
61.5,m
65,m
61.8,m
63.2,m
63.2,m
61.1,m
65.9,m
65,m
61.9,m
62.1,m
63.1,m
62.3,m
64.3,m
62.7,m
64.2,m
62.1,m
63.4,m
61.4,m
61.3,m
63.6,m
60.1,m
63.3,m
61.6,m
65.1,m
60,m
66.5,m
59.9,m
63.8,m
62.9,m
64,m
62,m
63.5,m
61.7,m
61.7,m
61.7,m
64.1,m
62.7,m
66.4,m
60.5,m
60.9,m
63.4,m
61.8,m
59.1,m
61.9,m
61,m
59,m
65.7,m
63.9,m
62.9,m
63.2,m
53.3,f
49.9,f
56.9,f
54.1,f
59.3,f
58,f
52.5,f
53,f
57.3,f
50.2,f
57,f
56.9,f
53.7,f
59.4,f
57.9,f
55.7,f
54.5,f
57.6,f
60.3,f
53.7,f
55.6,f
51.6,f
53.8,f
50,f
56.3,f
56.3,f
52.1,f
56.2,f
54.6,f
57,f
56.4,f
55.3,f
57.8,f
56.5,f
56.3,f
59.1,f
57.5,f
53.2,f
58.1,f
52.6,f
57.5,f
53.5,f
55.6,f
53.2,f
54,f
58.2,f
56.8,f
54.6,f
52.9,f
58,f
54.5,f
55.6,f
55.2,f
48.9,f
52.5,f
59.3,f
53.1,f
54.6,f
57.5,f
52.9,f
58,f
57.1,f
58.1,f
59.1,f
51.1,f
56.3,f
54.9,f
53,f
55.2,f
55.1,f
56.5,f
53.8,f
57.4,f
56.3,f
58.2,f
57.6,f
57.4,f
57.8,f
54.6,f
55.9,f
