"Species","Origin","Age","DBH","Ht","Pst","Pbr","Pf","Pabo","Country","GAge"
"Populus tremula L.","Natural",38,4.8,8.2,4.2,0.5,0.2,4.9,"RUS","<40"
"Populus tremula L.","Natural",38,8.2,11.9,14.1,1.7,0.7,16.5,"RUS","<40"
"Populus tremula L.","Natural",38,12.4,15.1,42.2,4.7,1.5,48.4,"RUS","<40"
"Populus tremula L.","Natural",38,15.9,17,74.5,8,2.4,84.9,"RUS","<40"
"Populus tremula L.","Natural",38,19.7,18.5,121.2,12.1,4,137.3,"RUS","<40"
"Populus tremula L.","Natural",75,27,26,331.7,54,8.5,394.2,"RUS",">50"
"Populus tremula L.","Natural",45,16.7,20,94.5,10,2.2,106.7,"RUS","40-50"
"Populus tremula L.","Natural",35,14,16,52.7,4.7,1.9,59.3,"RUS","<40"
"Populus tremula L.","Natural",55,17,20,110.8,14.9,2.4,128.1,"RUS",">50"
"Populus tremula L.","Natural",25,7,10,4.6,0.5,0.2,5.3,"RUS","<40"
"Populus tremula L.","Natural",55,19.5,24,188.1,21.2,5.2,214.5,"RUS",">50"
"Populus tremula L.","Natural",27,9,11.4,15.2,2.16,0.9,18.26,"RUS","<40"
"Populus tremula L.","Natural",27,12,12.6,30.6,4.32,2.04,36.96,"RUS","<40"
"Populus tremula L.","Natural",27,17.7,14,62.2,13,4.58,79.78,"RUS","<40"
"Populus tremula L.","Natural",26,21.3,14.6,92.2,28.1,7.29,127.6,"RUS","<40"
"Populus tremula L.","Natural",19,8.8,11.7,11.07,1.2,0.7,12.97,"RUS","<40"
"Populus tremula L.","Natural",55,19.2,26.3,161.3,11.6,2.8,175.7,"RUS",">50"
"Populus tremula L.","Natural",10,2.2,4.9,0.59,0.03,0.07,0.69,"RUS","<40"
"Populus tremula L.","Natural",25,10.8,17.3,40.4,3.7,0.9,45,"RUS","<40"
"Populus tremula L.","Natural",50,25.2,28,314,18,5,337,"RUS","40-50"
"Populus tremula L.","Natural",32,5,12.8,7.96,0.41,0.1,8.47,"RUS","<40"
"Populus tremula L.","Natural",40,8,15.8,14.4,0.61,0.17,15.2,"RUS","40-50"
"Populus tremula L.","Natural",37,9.8,15.9,25.5,1.84,0.49,27.8,"RUS","<40"
"Populus tremula L.","Natural",40,10,15.6,22.8,1.43,0.36,24.6,"RUS","40-50"
"Populus tremula L.","Natural",43,11,16.7,33.4,1.68,0.62,35.7,"RUS","40-50"
"Populus tremula L.","Natural",41,12.1,16.8,42,2.96,0.69,45.6,"RUS","40-50"
"Populus tremula L.","Natural",36,14,17.7,51.1,4.39,1.37,56.9,"RUS","<40"
"Populus tremula L.","Natural",41,15.9,17.9,74.4,7.45,2.14,84,"RUS","40-50"
"Populus tremula L.","Natural",38,18,17.6,82.6,8.52,2.77,93.9,"RUS","<40"
"Populus tremula L.","Natural",39,20.1,18.8,120.1,14.4,3.42,137.9,"RUS","<40"
"Populus tremula L.","Natural",40,22.2,17.9,122.2,19.4,4.54,146.1,"RUS","40-50"
"Populus tremula L.","Natural",42,26.5,19.1,202.3,54.3,7.88,264.5,"RUS","40-50"
"Populus tremula L.","Natural",36,8.4,13.5,13.9,0.82,0.32,15.04,"RUS","<40"
"Populus tremula L.","Natural",54,10.1,15,22.2,1.38,0.47,24.05,"RUS",">50"
"Populus tremula L.","Natural",52,14.1,20.5,61.5,4.28,1.33,67.1,"RUS",">50"
"Populus tremula L.","Natural",41,16,20.4,83.3,7.09,2.61,93,"RUS","40-50"
"Populus tremula L.","Natural",60,19.7,24.1,136.5,9.13,2.49,148.1,"RUS",">50"
"Populus tremula L.","Natural",60,26.2,22.9,211.8,27,4.79,243.6,"RUS",">50"
"Populus tremula L.","Natural",56,34.5,25.3,413.5,86.1,12.2,511.8,"RUS",">50"
"Populus tremula L.","Natural",74,12,17.8,39.2,2.24,0.75,42.19,"RUS",">50"
"Populus tremula L.","Natural",74,16.1,19.2,77.2,7.75,1.62,86.6,"RUS",">50"
"Populus tremula L.","Natural",75,20,19.8,109.8,12.55,3.39,125.7,"RUS",">50"
"Populus tremula L.","Natural",75,24,22.5,209.2,18.21,3.86,231.3,"RUS",">50"
"Populus tremula L.","Natural",75,28,20,239,67.12,8.89,315,"RUS",">50"
"Populus tremula L.","Natural",10,1,2.5,0.11,0.03,0.014,0.154,"RUS","<40"
"Populus tremula L.","Natural",10,2.3,4.5,0.53,0.087,0.035,0.652,"RUS","<40"
"Populus tremula L.","Natural",12,2.8,4.6,0.8,0.255,0.068,1.12,"RUS","<40"
"Populus tremula L.","Natural",17,4.2,7.8,2.47,0.393,0.249,3.11,"RUS","<40"
"Populus tremula L.","Natural",14,5.3,7.3,4.57,0.571,0.511,5.65,"RUS","<40"
"Populus tremula L.","Natural",11,1,2.7,0.15,0.02,0.01,0.18,"RUS","<40"
