drinks,rushed
3,yes
2,yes
2,yes
3,yes
3,yes
3,yes
2,yes
3,yes
2,yes
3,yes
3,yes
2,yes
4,yes
3,yes
3,yes
2,yes
3,yes
1,yes
4,yes
3,yes
3,yes
3,yes
2,yes
1,yes
3,yes
2,yes
4,yes
2,yes
3,yes
2,yes
2,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
2,yes
3,yes
1,yes
3,yes
3,yes
3,yes
3,yes
2,yes
1,yes
3,yes
3,yes
2,yes
2,yes
2,yes
2,yes
3,yes
2,yes
1,no
3,no
3,no
1,no
0,no
1,no
3,no
4,no
1,no
2,no
3,no
2,no
2,no
3,no
0,no
2,no
2,no
1,no
2,no
3,no
1,no
4,no
1,no
2,no
2,no
1,no
2,no
2,no
1,no
3,no
3,no
2,no
2,no
1,no
3,no
1,no
2,no
1,no
2,no
3,no
2,no
1,no
2,no
2,no
3,no
4,no
2,no
2,no
2,no
2,no
3,no
