# Landings (in millions) of cod by age and year
# Data from http://www.hafro.is/~lorna/saithecatch
#
Year     age3    age4    age5    age6    age7    age8    age9   age10   age11  age12    age13   age14
1976    0.329   3.234   3.045   2.530   2.154   2.367   1.530   1.064   0.295   0.191   0.094   0.068
1977    0.059   2.099   2.858   1.801   1.036   1.068   1.528   0.958   0.538   0.166   0.071   0.012
1978    0.548   1.145   2.435   1.556   1.275   0.961   0.537   0.575   0.476   0.279   0.139   0.091
1979    0.480   3.764   1.991   3.616   1.566   0.718   0.292   0.669   0.589   0.489   0.150   0.072
1980    0.275   2.540   5.214   2.596   2.169   1.341   0.387   0.262   0.155   0.112   0.064   0.033
1981    0.203   1.325   3.503   5.404   1.457   1.415   0.578   0.242   0.061   0.154   0.135   0.128
1982    0.508   1.092   2.804   4.845   4.293   1.215   0.975   0.306   0.059   0.035   0.048   0.046
1983    0.107   1.750   1.065   2.455   4.454   2.311   0.501   0.251   0.038   0.012   0.002   0.004
1984    0.053   0.657   0.800   1.825   2.184   3.610   0.844   0.376   0.291   0.135   0.185   0.226
1985    0.376   4.014   3.366   1.958   1.536   1.172   0.747   0.479   0.074   0.023   0.072   0.071
1986    3.108   1.400   4.170   2.665   1.550   1.116   0.628   1.549   0.216   0.051   0.030   0.014
1987    0.956   5.135   4.428   5.409   2.915   1.348   0.661   0.496   0.498   0.058   0.027   0.048
1988    1.318   5.067   6.619   3.678   2.859   1.775   0.845   0.226   0.270   0.107   0.024   0.001
1989    0.315   4.313   8.471   7.309   1.794   1.928   0.848   0.270   0.191   0.135   0.076   0.010
1990    0.143   1.692   5.471   10.112  6.174   1.816   1.087   0.380   0.151   0.055   0.076   0.037
1991    0.198   0.874   3.613   6.844   10.772  3.223   0.858   0.838   0.228   0.040   0.006   0.005
1992    0.242   2.928   3.844   4.355   3.884   4.046   1.290   0.350   0.196   0.056   0.054   0.015
1993    0.657   1.083   2.841   2.252   2.247   2.314   3.671   0.830   0.223   0.188   0.081   0.012
1994    0.702   2.955   1.770   2.603   1.377   1.243   1.263   2.009   0.454   0.158   0.188   0.082
1995    1.567   1.847   2.652   1.802   2.364   0.903   0.573   0.481   0.520   0.106   0.035   0.013
1996    2.118   3.465   2.327   1.838   0.814   1.129   0.321   0.209   0.144   0.168   0.085   0.033
1997    0.603   2.960   2.766   1.651   1.178   0.599   0.454   0.125   0.095   0.114   0.077   0.043
1998    0.202   1.246   1.944   1.490   1.073   0.566   0.352   0.258   0.138   0.084   0.070   0.083
1999    0.947   0.698   1.581   2.269   1.977   0.702   0.340   0.139   0.066   0.021   0.020   0.020
