TL,Treatment
11.4,Control
11.8,Control
11.9,Control
10.7,Control
11.2,Control
12,Control
11.3,Control
12,Control
12,Control
10.3,Control
10.7,Control
12.2,Control
10.7,Control
12.8,Control
10.1,Control
11.4,Control
11.3,Control
11,Control
11.1,Control
11.9,Control
12.5,Control
12.4,Control
11.1,Control
11.7,Control
10.9,Control
11.7,Control
11.5,Control
12.6,Control
10.9,Small
11.2,Small
11.2,Small
9.4,Small
10.6,Small
11,Small
11.3,Small
12.1,Small
9.8,Small
11.6,Small
10.8,Small
12.5,Small
8.7,Small
10.6,Small
12.5,Small
11.8,Small
12,Small
12.2,Small
10.8,Small
10.6,Small
12,Small
11.8,Small
10.9,Small
10.1,Small
10.4,Small
11.4,Small
11.6,Small
12.6,Small
11,Medium
12.7,Medium
11,Medium
12.6,Medium
11.3,Medium
10.5,Medium
12.2,Medium
10.7,Medium
10.5,Medium
8.6,Medium
11.5,Medium
11.8,Medium
10.7,Medium
11.5,Medium
13,Medium
11.5,Medium
11.9,Medium
10.6,Medium
10.5,Medium
11.7,Medium
9.4,Medium
9.6,Medium
11.4,Medium
12.4,Medium
12.2,Medium
12.4,Medium
10.1,Medium
10.5,Medium
10.3,Large
11.2,Large
9.4,Large
12.1,Large
11.2,Large
10.1,Large
10.7,Large
10.8,Large
10.7,Large
11.3,Large
10.3,Large
10.5,Large
11.3,Large
9.5,Large
11.3,Large
10,Large
11.5,Large
11.1,Large
12.6,Large
9.8,Large
9.6,Large
10.2,Large
11.3,Large
10.8,Large
11.6,Large
9.7,Large
10,Large
10.1,Large
11.5,Large
