Richness,Copper,Orientation
68,None,Vertical
64,None,Vertical
64,None,Vertical
63,None,Vertical
69,None,Vertical
63,None,Vertical
70,None,Vertical
68,None,Vertical
68,None,Vertical
62,None,Vertical
70,None,Horizontal
71,None,Horizontal
70,None,Horizontal
67,None,Horizontal
71,None,Horizontal
65,None,Horizontal
65,None,Horizontal
67,None,Horizontal
71,None,Horizontal
65,None,Horizontal
60,Low,Vertical
58,Low,Vertical
57,Low,Vertical
62,Low,Vertical
60,Low,Vertical
59,Low,Vertical
58,Low,Vertical
58,Low,Vertical
59,Low,Vertical
61,Low,Vertical
57,Low,Horizontal
52,Low,Horizontal
54,Low,Horizontal
57,Low,Horizontal
54,Low,Horizontal
57,Low,Horizontal
58,Low,Horizontal
56,Low,Horizontal
59,Low,Horizontal
56,Low,Horizontal
39,High,Vertical
42,High,Vertical
41,High,Vertical
45,High,Vertical
44,High,Vertical
46,High,Vertical
46,High,Vertical
44,High,Vertical
46,High,Vertical
42,High,Vertical
56,High,Horizontal
53,High,Horizontal
56,High,Horizontal
51,High,Horizontal
52,High,Horizontal
56,High,Horizontal
54,High,Horizontal
58,High,Horizontal
57,High,Horizontal
55,High,Horizontal
