dbh,crb,species
48.2,85.7,Ebeech
45.6,57.1,Ebeech
36.9,90.1,Ebeech
37.7,63.2,Ebeech
32.3,73.6,Ebeech
35.7,47.8,Ebeech
36.5,35.3,Ebeech
31.5,35.3,Ebeech
27.9,45.5,Ebeech
26.1,58.6,Ebeech
24.7,26,Ebeech
21.1,20.2,Ebeech
18.5,13.8,Ebeech
17.7,13.1,Ebeech
17.1,18.7,Ebeech
14.3,13.5,Ebeech
13.8,10.2,Ebeech
15.5,9.2,Ebeech
12.8,6.1,Ebeech
12,3.3,Ebeech
9.2,2.8,Ebeech
10,0.9,Ebeech
5.5,0.7,Ebeech
4.2,0.6,Ebeech
15.6,7.1,Nspruce
19.6,14.9,Nspruce
20.5,23.5,Nspruce
29,30.3,Nspruce
28.3,33.5,Nspruce
28,35.3,Nspruce
28.7,40.1,Nspruce
29.6,45.5,Nspruce
30.3,46.6,Nspruce
28.7,83.5,Nspruce
34.6,57.1,Nspruce
36.2,55.7,Nspruce
43.7,61.6,Nspruce
37.8,75.5,Nspruce
35,99.8,Nspruce
39.1,83.5,Nspruce
40.4,90.1,Nspruce
40.4,99.8,Nspruce
44.2,79.4,Nspruce
43.2,110.4,Nspruce
43.7,125.3,Nspruce
47.8,142.3,Nspruce
54,138.7,Nspruce
54.6,161.5,Nspruce
50,169.9,Nspruce
46.7,188,Nspruce
46.7,224.5,Nspruce
50.5,236.2,Nspruce
52.2,202.9,Nspruce
55.8,230.3,Nspruce
57.7,230.3,Nspruce
54.6,275,Nspruce
54.6,289.3,Nspruce
59.7,268.2,Nspruce
57.7,320.2,Nspruce
61.7,354.4,Nspruce
63.1,445.2,Nspruce
57.7,545.3,Nspruce
68.9,860.7,Nspruce
74.5,839.2,Nspruce
