walk.night,crime.problem
Sometimes,No
Sometimes,No
Sometimes,No
Never,No
Never,No
Never,No
Never,No
Never,No
Never,No
Never,No
Never,No
Never,No
Often,Small
Often,Small
Sometimes,Small
Sometimes,Small
Sometimes,Small
Sometimes,Small
Sometimes,Small
Sometimes,Small
Sometimes,Small
Sometimes,Small
Sometimes,Small
Sometimes,Small
Sometimes,Small
Sometimes,Small
Sometimes,Small
Never,Small
Never,Small
Never,Small
Never,Small
Never,Small
Never,Small
Never,Small
Never,Small
Never,Small
Never,Small
Never,Small
Never,Small
Never,Small
Never,Small
Never,Small
Never,Small
Never,Small
Never,Small
Never,Small
Never,Small
Never,Small
Never,Small
Never,Small
Never,Small
Never,Small
Never,Small
Never,Small
Never,Small
Never,Small
Never,Small
Never,Small
Never,Small
Never,Small
Never,Small
Never,Small
Never,Small
Never,Small
Never,Small
Never,Small
Never,Small
Never,Small
Never,Small
Never,Small
Never,Small
Never,Small
Never,Small
Never,Small
Never,Small
Never,Small
Never,Small
Never,Small
Never,Small
Never,Small
Never,Small
Never,Small
Never,Small
Never,Small
Often,Big
Often,Big
Sometimes,Big
Sometimes,Big
Sometimes,Big
Sometimes,Big
Sometimes,Big
Sometimes,Big
Sometimes,Big
Sometimes,Big
Sometimes,Big
Sometimes,Big
Sometimes,Big
Sometimes,Big
Sometimes,Big
Sometimes,Big
Sometimes,Big
Sometimes,Big
Sometimes,Big
Sometimes,Big
Sometimes,Big
Sometimes,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
Never,Big
